timestamp,aggregation,attack,partition,malicious,z,success,message
2026-03-26 09:30:39,mean,lie,iid,2,3.0,YES,Success
2026-03-26 09:39:11,mean,lie,iid,4,3.0,YES,Success
2026-03-26 09:47:47,mean,lie,iid,6,3.0,YES,Success
2026-03-26 09:56:23,mean,lie,noniid,2,3.0,YES,Success
2026-03-26 10:05:03,mean,lie,noniid,4,3.0,YES,Success
2026-03-26 10:13:51,mean,lie,noniid,6,3.0,YES,Success
2026-03-26 10:22:26,mean,minmax,iid,2,15.0,YES,Success
2026-03-26 10:31:01,mean,minmax,iid,4,15.0,YES,Success
2026-03-26 10:39:49,mean,minmax,iid,6,15.0,YES,Success
2026-03-26 10:49:22,mean,minmax,noniid,2,15.0,YES,Success
2026-03-26 10:58:20,mean,minmax,noniid,4,15.0,YES,Success
2026-03-26 11:06:58,mean,minmax,noniid,6,15.0,YES,Success
2026-03-26 11:16:16,mean,model_replacement,iid,2,1.0,YES,Success
2026-03-26 11:25:49,mean,model_replacement,iid,4,1.0,YES,Success
2026-03-26 11:34:27,mean,model_replacement,iid,6,1.0,YES,Success
2026-03-26 11:43:03,mean,model_replacement,noniid,2,1.0,YES,Success
2026-03-26 11:51:50,mean,model_replacement,noniid,4,1.0,YES,Success
2026-03-26 12:00:34,mean,model_replacement,noniid,6,1.0,YES,Success
2026-03-26 12:09:05,median,lie,iid,2,3.0,YES,Success
2026-03-26 12:17:41,median,lie,iid,4,3.0,YES,Success
2026-03-26 12:26:17,median,lie,iid,6,3.0,YES,Success
2026-03-26 12:34:54,median,lie,noniid,2,3.0,YES,Success
2026-03-26 12:43:24,median,lie,noniid,4,3.0,YES,Success
2026-03-26 12:51:59,median,lie,noniid,6,3.0,YES,Success
2026-03-26 13:00:35,median,minmax,iid,2,15.0,YES,Success
2026-03-26 13:09:06,median,minmax,iid,4,15.0,YES,Success
2026-03-26 13:17:46,median,minmax,iid,6,15.0,YES,Success
2026-03-26 13:26:24,median,minmax,noniid,2,15.0,YES,Success
2026-03-26 13:35:14,median,minmax,noniid,4,15.0,YES,Success
2026-03-26 13:43:55,median,minmax,noniid,6,15.0,YES,Success
2026-03-26 13:52:21,median,model_replacement,iid,2,1.0,YES,Success
2026-03-26 14:00:49,median,model_replacement,iid,4,1.0,YES,Success
2026-03-26 14:09:31,median,model_replacement,iid,6,1.0,YES,Success
2026-03-26 14:18:10,median,model_replacement,noniid,2,1.0,YES,Success
2026-03-26 14:26:51,median,model_replacement,noniid,4,1.0,YES,Success
2026-03-26 14:35:34,median,model_replacement,noniid,6,1.0,YES,Success
2026-03-26 14:44:21,krum,lie,iid,2,3.0,YES,Success
2026-03-26 14:53:56,krum,lie,iid,4,3.0,YES,Success
2026-03-26 15:03:37,krum,lie,iid,6,3.0,YES,Success
2026-03-26 15:13:03,krum,lie,noniid,2,3.0,YES,Success
2026-03-26 15:22:50,krum,lie,noniid,4,3.0,YES,Success
2026-03-26 15:32:39,krum,lie,noniid,6,3.0,YES,Success
2026-03-26 15:42:10,krum,minmax,iid,2,15.0,YES,Success
2026-03-26 15:50:31,krum,minmax,iid,4,15.0,YES,Success
2026-03-26 15:59:09,krum,minmax,iid,6,15.0,YES,Success
2026-03-26 16:28:17,krum,minmax,noniid,2,15.0,YES,Success
2026-03-26 16:37:03,krum,minmax,noniid,4,15.0,YES,Success
2026-03-26 16:45:48,krum,minmax,noniid,6,15.0,YES,Success
2026-03-26 16:55:00,krum,model_replacement,iid,2,1.0,YES,Success
2026-03-26 17:04:13,krum,model_replacement,iid,4,1.0,YES,Success
2026-03-26 17:13:03,krum,model_replacement,iid,6,1.0,YES,Success
2026-03-26 17:21:50,krum,model_replacement,noniid,2,1.0,YES,Success
2026-03-26 17:30:36,krum,model_replacement,noniid,4,1.0,YES,Success
2026-03-26 17:39:16,krum,model_replacement,noniid,6,1.0,YES,Success
