round,loss,accuracy,asr,timestamp
1,0.474339,84.9500,,2026-03-24 12:21:09
2,0.265709,91.4700,,2026-03-24 12:21:17
3,0.175532,94.3700,,2026-03-24 12:21:26
4,0.153174,95.1400,,2026-03-24 12:21:34
5,0.128306,95.8500,,2026-03-24 12:21:43
6,0.117221,96.4000,,2026-03-24 12:21:51
7,0.126345,96.1700,,2026-03-24 12:21:59
8,0.120540,95.9300,,2026-03-24 12:22:08
9,0.073462,97.7200,,2026-03-24 12:22:16
10,0.091793,97.1600,,2026-03-24 12:22:25
11,0.101852,96.9700,,2026-03-24 12:22:33
12,0.082594,97.4900,,2026-03-24 12:22:42
13,0.087083,97.2800,,2026-03-24 12:22:50
14,0.090897,97.0100,,2026-03-24 12:22:58
15,0.085103,97.4900,,2026-03-24 12:23:07
16,0.092369,97.0600,,2026-03-24 12:23:15
17,0.076782,97.6700,,2026-03-24 12:23:24
18,0.064918,98.1100,,2026-03-24 12:23:32
19,0.083516,97.0700,,2026-03-24 12:23:40
20,0.063678,98.1300,,2026-03-24 12:23:49
21,0.059256,98.2900,,2026-03-24 12:23:58
22,0.057371,98.4000,,2026-03-24 12:24:06
23,0.063788,98.3600,,2026-03-24 12:24:15
24,0.059504,98.4100,,2026-03-24 12:24:23
25,0.104783,96.8200,,2026-03-24 12:24:31
26,0.061314,98.3200,,2026-03-24 12:24:39
27,0.060133,98.3200,,2026-03-24 12:24:48
28,0.073725,97.7700,,2026-03-24 12:24:56
29,0.053210,98.3700,,2026-03-24 12:25:05
30,0.063069,98.1300,,2026-03-24 12:25:14
31,0.059320,98.2500,,2026-03-24 12:25:22
32,0.055341,98.4000,,2026-03-24 12:25:30
33,0.074518,97.9800,,2026-03-24 12:25:39
34,0.052771,98.5400,,2026-03-24 12:25:47
35,0.054417,98.5700,,2026-03-24 12:25:56
36,0.081494,97.8000,,2026-03-24 12:26:04
37,0.057183,98.2400,,2026-03-24 12:26:12
38,0.061764,98.0700,,2026-03-24 12:26:21
39,0.054603,98.5100,,2026-03-24 12:26:29
40,0.053555,98.5300,,2026-03-24 12:26:37
41,0.071927,98.1000,,2026-03-24 12:26:46
42,0.072291,97.8400,,2026-03-24 12:26:54
43,0.046824,98.6600,,2026-03-24 12:27:03
44,0.044494,98.7400,,2026-03-24 12:27:11
45,0.044941,98.7100,,2026-03-24 12:27:19
46,0.045938,98.7000,,2026-03-24 12:27:28
47,0.056210,98.5500,,2026-03-24 12:27:36
48,0.069916,98.0600,,2026-03-24 12:27:45
49,0.052606,98.5800,,2026-03-24 12:27:53
50,0.065873,98.0300,,2026-03-24 12:28:02
