round,loss,accuracy,asr,timestamp
1,2.458051,31.7800,0.0000,2026-03-26 15:03:53
2,1.247898,53.9800,0.0000,2026-03-26 15:04:04
3,0.694464,76.5200,0.8248,2026-03-26 15:04:14
4,1.071298,73.3800,0.0446,2026-03-26 15:04:26
5,0.392941,87.4700,0.2229,2026-03-26 15:04:39
6,0.467458,85.4500,6.4534,2026-03-26 15:04:51
7,0.302072,90.1100,0.1337,2026-03-26 15:05:03
8,0.295250,90.7800,3.5109,2026-03-26 15:05:15
9,0.591988,82.2400,2.1177,2026-03-26 15:05:26
10,0.275325,91.5800,2.0397,2026-03-26 15:05:38
11,0.292199,90.8000,0.3232,2026-03-26 15:05:49
12,0.349559,89.4100,0.1895,2026-03-26 15:06:00
13,0.225766,93.1000,0.6353,2026-03-26 15:06:11
14,0.235486,92.9600,0.8917,2026-03-26 15:06:23
15,0.290821,91.2900,0.2006,2026-03-26 15:06:36
16,0.195652,94.0600,0.7802,2026-03-26 15:06:48
17,0.243149,92.6200,0.8025,2026-03-26 15:07:02
18,0.344282,89.7000,0.3121,2026-03-26 15:07:15
19,0.267781,92.1200,0.1226,2026-03-26 15:07:27
20,0.235734,93.1500,0.1337,2026-03-26 15:07:38
21,0.231774,93.7100,0.4347,2026-03-26 15:07:50
22,0.369296,89.9400,0.6910,2026-03-26 15:08:02
23,0.349631,90.4300,0.2118,2026-03-26 15:08:15
24,0.244568,93.1100,0.2341,2026-03-26 15:08:27
25,0.312146,91.6900,0.4793,2026-03-26 15:08:38
26,0.309300,91.5900,0.3232,2026-03-26 15:08:50
27,0.234366,93.3100,0.2229,2026-03-26 15:09:02
28,0.277470,93.1500,0.6910,2026-03-26 15:09:13
29,0.235851,93.8000,0.5127,2026-03-26 15:09:23
30,0.241000,94.0000,0.5239,2026-03-26 15:09:36
31,0.391626,90.8200,0.4458,2026-03-26 15:09:48
32,0.211526,94.1500,0.4347,2026-03-26 15:09:57
33,0.277716,92.2900,0.2118,2026-03-26 15:10:07
34,0.225374,94.2400,0.4681,2026-03-26 15:10:17
35,0.239248,93.9900,0.5573,2026-03-26 15:10:27
36,0.197523,93.7500,1.1257,2026-03-26 15:10:39
37,0.234682,93.6800,0.8471,2026-03-26 15:10:48
38,0.222166,94.2200,0.6687,2026-03-26 15:10:59
39,0.239679,93.9800,0.6799,2026-03-26 15:11:09
40,0.245978,93.9200,0.7468,2026-03-26 15:11:19
41,0.226596,93.6400,0.2564,2026-03-26 15:11:29
42,0.281703,92.4100,0.8471,2026-03-26 15:11:40
43,0.277582,92.4300,0.3344,2026-03-26 15:11:51
44,0.247123,93.4800,0.2229,2026-03-26 15:12:00
45,0.260439,93.6600,0.6910,2026-03-26 15:12:10
46,0.138982,95.5500,1.2149,2026-03-26 15:12:21
47,0.260001,93.2200,0.7579,2026-03-26 15:12:29
48,0.273742,92.7500,0.2341,2026-03-26 15:12:39
49,0.284452,93.0500,0.7356,2026-03-26 15:12:50
50,0.138842,95.9300,1.1926,2026-03-26 15:13:02
