round,loss,accuracy,asr,timestamp
1,0.550735,83.0800,,2026-03-24 13:18:33
2,0.233868,93.0900,,2026-03-24 13:18:42
3,0.191931,94.4500,,2026-03-24 13:18:51
4,0.175004,94.5700,,2026-03-24 13:19:00
5,0.150560,95.5400,,2026-03-24 13:19:09
6,0.138424,95.8500,,2026-03-24 13:19:18
7,0.138573,95.8500,,2026-03-24 13:19:27
8,0.110095,96.4000,,2026-03-24 13:19:36
9,0.105275,96.8100,,2026-03-24 13:19:46
10,0.095996,97.0000,,2026-03-24 13:19:55
11,0.082859,97.4000,,2026-03-24 13:20:04
12,0.081075,97.4900,,2026-03-24 13:20:13
13,0.095517,97.1100,,2026-03-24 13:20:22
14,0.088367,97.2300,,2026-03-24 13:20:31
15,0.070165,97.6500,,2026-03-24 13:20:40
16,0.071348,97.8600,,2026-03-24 13:20:49
17,0.067650,97.8200,,2026-03-24 13:20:59
18,0.063390,97.9500,,2026-03-24 13:21:07
19,0.094969,96.8100,,2026-03-24 13:21:17
20,0.056106,98.2000,,2026-03-24 13:21:26
21,0.062548,98.1400,,2026-03-24 13:21:34
22,0.058385,98.2700,,2026-03-24 13:21:43
23,0.060354,98.3000,,2026-03-24 13:21:52
24,0.060776,98.2800,,2026-03-24 13:22:01
25,0.074510,97.7200,,2026-03-24 13:22:10
26,0.073447,97.9200,,2026-03-24 13:22:19
27,0.060058,98.3000,,2026-03-24 13:22:28
28,0.070895,97.8600,,2026-03-24 13:22:38
29,0.056418,98.2700,,2026-03-24 13:22:47
30,0.070241,98.0400,,2026-03-24 13:22:56
31,0.050869,98.3600,,2026-03-24 13:23:05
32,0.058379,98.0900,,2026-03-24 13:23:14
33,0.050737,98.4000,,2026-03-24 13:23:23
34,0.045880,98.6900,,2026-03-24 13:23:32
35,0.045665,98.6500,,2026-03-24 13:23:41
36,0.062166,98.0200,,2026-03-24 13:23:51
37,0.047556,98.4100,,2026-03-24 13:24:00
38,0.048172,98.4100,,2026-03-24 13:24:09
39,0.045090,98.5700,,2026-03-24 13:24:18
40,0.043833,98.6600,,2026-03-24 13:24:27
41,0.071573,97.6200,,2026-03-24 13:24:36
42,0.047367,98.4200,,2026-03-24 13:24:45
43,0.046042,98.4500,,2026-03-24 13:24:54
44,0.042366,98.6400,,2026-03-24 13:25:03
45,0.046125,98.6200,,2026-03-24 13:25:12
46,0.048991,98.5400,,2026-03-24 13:25:21
47,0.052351,98.4600,,2026-03-24 13:25:30
48,0.054852,98.4500,,2026-03-24 13:25:39
49,0.052633,98.5300,,2026-03-24 13:25:48
50,0.053822,98.5500,,2026-03-24 13:25:57
