round,loss,accuracy,asr,timestamp
1,2.043779,33.5000,,2026-03-24 13:42:00
2,1.660723,41.0500,,2026-03-24 13:42:09
3,1.106146,73.6300,,2026-03-24 13:42:17
4,0.874838,78.6500,,2026-03-24 13:42:26
5,0.541723,82.8500,,2026-03-24 13:42:37
6,0.365174,88.6800,,2026-03-24 13:42:46
7,0.405297,86.4400,,2026-03-24 13:42:56
8,0.349425,88.8700,,2026-03-24 13:43:07
9,0.503977,85.0900,,2026-03-24 13:43:15
10,0.281017,91.4100,,2026-03-24 13:43:25
11,0.299868,90.1500,,2026-03-24 13:43:35
12,0.296841,90.4400,,2026-03-24 13:43:44
13,0.283686,91.2800,,2026-03-24 13:43:53
14,0.343624,90.4800,,2026-03-24 13:44:03
15,0.255160,92.0100,,2026-03-24 13:44:14
16,0.260624,92.1800,,2026-03-24 13:44:24
17,0.528833,85.4400,,2026-03-24 13:44:34
18,0.697118,82.3100,,2026-03-24 13:44:43
19,0.289228,91.5000,,2026-03-24 13:44:51
20,0.399378,89.1900,,2026-03-24 13:44:58
21,0.292285,92.0100,,2026-03-24 13:45:07
22,0.309394,92.0900,,2026-03-24 13:45:15
23,0.309992,90.4000,,2026-03-24 13:45:24
24,0.302820,91.2100,,2026-03-24 13:45:33
25,0.294787,92.1600,,2026-03-24 13:45:41
26,0.275953,92.8000,,2026-03-24 13:45:49
27,0.321151,90.2300,,2026-03-24 13:45:57
28,0.285356,92.2000,,2026-03-24 13:46:05
29,0.262515,93.3300,,2026-03-24 13:46:12
30,0.283311,93.0700,,2026-03-24 13:46:20
31,0.316508,91.0200,,2026-03-24 13:46:27
32,0.223605,93.0000,,2026-03-24 13:46:36
33,0.224511,93.1300,,2026-03-24 13:46:43
34,0.212070,93.9900,,2026-03-24 13:46:51
35,0.239109,93.6500,,2026-03-24 13:46:58
36,0.169802,94.8100,,2026-03-24 13:47:06
37,0.226932,94.1600,,2026-03-24 13:47:13
38,0.223015,94.4200,,2026-03-24 13:47:22
39,0.253277,93.9100,,2026-03-24 13:47:29
40,0.251807,94.0300,,2026-03-24 13:47:36
41,0.197143,93.9500,,2026-03-24 13:47:44
42,0.699387,80.8000,,2026-03-24 13:47:53
43,0.218112,93.8800,,2026-03-24 13:48:00
44,0.151702,95.4900,,2026-03-24 13:48:07
45,0.223840,94.2600,,2026-03-24 13:48:15
46,0.177456,94.8900,,2026-03-24 13:48:24
47,0.204728,94.8400,,2026-03-24 13:48:31
48,0.146144,95.8100,,2026-03-24 13:48:39
49,0.164280,95.5100,,2026-03-24 13:48:48
50,0.153665,96.0900,,2026-03-24 13:48:56
