round,loss,accuracy,asr,timestamp
1,0.613634,81.4100,0.4570,2026-03-26 17:04:27
2,0.243300,92.6100,0.8582,2026-03-26 17:04:38
3,0.194099,94.1500,0.5239,2026-03-26 17:04:48
4,0.134585,95.9700,0.8359,2026-03-26 17:04:59
5,0.117945,96.2900,0.6130,2026-03-26 17:05:09
6,0.165692,94.7000,0.4012,2026-03-26 17:05:20
7,0.115052,96.5300,0.1895,2026-03-26 17:05:30
8,0.102461,96.9100,0.4012,2026-03-26 17:05:40
9,0.110375,96.7800,0.3567,2026-03-26 17:05:51
10,0.103995,96.5500,0.5350,2026-03-26 17:06:01
11,0.126340,96.0900,0.2564,2026-03-26 17:06:12
12,0.125921,96.4800,0.6687,2026-03-26 17:06:23
13,0.088844,97.3500,0.2229,2026-03-26 17:06:33
14,0.106830,96.5100,0.1672,2026-03-26 17:06:44
15,0.073668,97.6600,0.3678,2026-03-26 17:06:55
16,0.099159,97.0100,0.2118,2026-03-26 17:07:06
17,0.129089,96.5200,0.5016,2026-03-26 17:07:17
18,0.101102,97.3700,0.3009,2026-03-26 17:07:28
19,0.111567,97.0000,0.1337,2026-03-26 17:07:39
20,0.093583,97.4900,0.4012,2026-03-26 17:07:49
21,0.113285,97.1900,0.4793,2026-03-26 17:08:00
22,0.091404,97.5900,0.2341,2026-03-26 17:08:11
23,0.076953,97.6200,0.1560,2026-03-26 17:08:21
24,0.086310,97.7800,0.3232,2026-03-26 17:08:32
25,0.070901,98.1500,0.1560,2026-03-26 17:08:42
26,0.063834,98.0400,0.2118,2026-03-26 17:08:53
27,0.073416,97.8400,0.1337,2026-03-26 17:09:03
28,0.082184,97.6600,0.0446,2026-03-26 17:09:13
29,0.080750,97.8300,0.1226,2026-03-26 17:09:23
30,0.072857,98.0500,0.1560,2026-03-26 17:09:34
31,0.076884,97.8300,0.1115,2026-03-26 17:09:45
32,0.075090,97.9100,0.1783,2026-03-26 17:09:55
33,0.069982,98.3300,0.2898,2026-03-26 17:10:06
34,0.068815,98.1200,0.1115,2026-03-26 17:10:17
35,0.067325,98.2800,0.1115,2026-03-26 17:10:28
36,0.080592,97.5500,0.2006,2026-03-26 17:10:38
37,0.057889,98.2200,0.2786,2026-03-26 17:10:48
38,0.055041,98.3800,0.1895,2026-03-26 17:10:59
39,0.056170,98.5200,0.1449,2026-03-26 17:11:09
40,0.056965,98.5300,0.1337,2026-03-26 17:11:20
41,0.077139,97.8000,0.1672,2026-03-26 17:11:30
42,0.079496,97.9200,0.1337,2026-03-26 17:11:40
43,0.070855,98.2700,0.2229,2026-03-26 17:11:51
44,0.069720,98.4000,0.2229,2026-03-26 17:12:01
45,0.069201,98.3800,0.2006,2026-03-26 17:12:11
46,0.070221,98.3900,0.2229,2026-03-26 17:12:22
47,0.071375,98.3600,0.2229,2026-03-26 17:12:32
48,0.072275,98.3800,0.2229,2026-03-26 17:12:42
49,0.072955,98.3700,0.2229,2026-03-26 17:12:53
50,0.073706,98.3700,0.2229,2026-03-26 17:13:03
