round,loss,accuracy,asr,timestamp
1,2.458051,31.7800,0.0000,2026-03-24 14:13:58
2,1.247898,53.9800,0.0000,2026-03-24 14:14:08
3,0.694464,76.5200,0.0000,2026-03-24 14:14:18
4,1.071298,73.3800,0.0000,2026-03-24 14:14:28
5,0.392941,87.4700,0.2643,2026-03-24 14:14:40
6,0.467458,85.4500,1.3216,2026-03-24 14:14:51
7,0.302072,90.1100,0.0000,2026-03-24 14:15:02
8,0.295250,90.7800,0.6167,2026-03-24 14:15:14
9,0.591988,82.2400,0.1762,2026-03-24 14:15:25
10,0.275325,91.5800,0.3524,2026-03-24 14:15:36
11,0.292199,90.8000,0.0000,2026-03-24 14:15:48
12,0.349559,89.4100,0.1762,2026-03-24 14:15:58
13,0.225766,93.1000,0.0000,2026-03-24 14:16:08
14,0.235486,92.9600,0.0881,2026-03-24 14:16:19
15,0.290821,91.2900,0.0000,2026-03-24 14:16:31
16,0.195652,94.0600,0.0881,2026-03-24 14:16:42
17,0.243149,92.6200,0.3524,2026-03-24 14:16:55
18,0.344282,89.7000,0.3524,2026-03-24 14:17:06
19,0.267781,92.1200,0.0000,2026-03-24 14:17:17
20,0.235734,93.1500,0.0000,2026-03-24 14:17:26
21,0.231774,93.7100,0.0881,2026-03-24 14:17:37
22,0.369296,89.9400,0.0881,2026-03-24 14:17:48
23,0.349631,90.4300,0.0000,2026-03-24 14:18:00
24,0.244568,93.1100,0.0881,2026-03-24 14:18:12
25,0.312146,91.6900,0.0881,2026-03-24 14:18:22
26,0.309300,91.5900,0.0000,2026-03-24 14:18:33
27,0.234366,93.3100,0.0000,2026-03-24 14:18:44
28,0.277470,93.1500,0.0881,2026-03-24 14:18:54
29,0.235851,93.8000,0.0000,2026-03-24 14:19:04
30,0.241000,94.0000,0.0881,2026-03-24 14:19:15
31,0.391626,90.8200,0.2643,2026-03-24 14:19:25
32,0.211526,94.1500,0.0000,2026-03-24 14:19:36
33,0.277716,92.2900,0.0881,2026-03-24 14:19:46
34,0.225374,94.2400,0.0881,2026-03-24 14:19:57
35,0.239248,93.9900,0.0881,2026-03-24 14:20:07
36,0.197523,93.7500,0.1762,2026-03-24 14:20:18
37,0.234682,93.6800,0.1762,2026-03-24 14:20:28
38,0.222166,94.2200,0.0881,2026-03-24 14:20:39
39,0.239679,93.9800,0.0881,2026-03-24 14:20:50
40,0.245978,93.9200,0.0881,2026-03-24 14:21:00
41,0.226596,93.6400,0.0000,2026-03-24 14:21:10
42,0.281703,92.4100,0.0000,2026-03-24 14:21:22
43,0.277582,92.4300,0.0000,2026-03-24 14:21:32
44,0.247123,93.4800,0.0000,2026-03-24 14:21:41
45,0.260439,93.6600,0.0000,2026-03-24 14:21:53
46,0.138982,95.5500,0.7048,2026-03-24 14:22:05
47,0.260001,93.2200,0.0000,2026-03-24 14:22:14
48,0.273742,92.7500,0.0000,2026-03-24 14:22:25
49,0.284452,93.0500,0.0000,2026-03-24 14:23:29
50,0.138842,95.9300,0.3524,2026-03-24 14:23:39
