round,loss,accuracy,asr,timestamp
1,1.461430,68.1500,,2026-03-24 08:07:30
2,0.810715,85.9500,,2026-03-24 08:07:38
3,0.311538,93.7800,,2026-03-24 08:07:47
4,0.231691,95.0300,,2026-03-24 08:07:55
5,0.132243,96.5600,,2026-03-24 08:08:03
6,0.222900,95.5200,,2026-03-24 08:08:11
7,0.223755,95.9900,,2026-03-24 08:08:19
8,0.116140,97.1300,,2026-03-24 08:08:28
9,0.131586,97.2400,,2026-03-24 08:08:36
10,0.197450,96.6900,,2026-03-24 08:08:44
11,0.175411,96.8900,,2026-03-24 08:08:52
12,0.146866,97.1100,,2026-03-24 08:09:00
13,0.236357,96.5300,,2026-03-24 08:09:08
14,0.195214,97.1100,,2026-03-24 08:09:17
15,0.354970,95.7200,,2026-03-24 08:09:25
16,0.086141,98.1300,,2026-03-24 08:09:33
17,0.188902,97.1500,,2026-03-24 08:09:41
18,0.059590,98.2200,,2026-03-24 08:09:49
19,0.069022,98.2300,,2026-03-24 08:09:58
20,0.050313,98.4900,,2026-03-24 08:10:06
21,0.177428,97.2900,,2026-03-24 08:10:15
22,0.387850,96.1900,,2026-03-24 08:10:23
23,0.514760,95.2800,,2026-03-24 08:10:31
24,0.217186,97.5800,,2026-03-24 08:10:40
25,0.056179,98.3100,,2026-03-24 08:10:48
26,0.073184,98.3500,,2026-03-24 08:10:56
27,0.220164,97.6500,,2026-03-24 08:11:04
28,0.604771,95.7900,,2026-03-24 08:11:13
29,1.018476,94.2200,,2026-03-24 08:11:21
30,0.224188,97.9700,,2026-03-24 08:11:30
31,0.121258,98.1600,,2026-03-24 08:11:38
32,0.390267,97.1900,,2026-03-24 08:11:46
33,0.266201,97.7400,,2026-03-24 08:11:54
34,0.119861,98.2000,,2026-03-24 08:12:03
35,0.153438,98.3600,,2026-03-24 08:12:11
36,0.722632,96.4000,,2026-03-24 08:12:19
37,0.322913,97.4600,,2026-03-24 08:12:27
38,0.304790,97.8100,,2026-03-24 08:12:35
39,0.444458,97.2000,,2026-03-24 08:12:44
40,0.788363,96.7400,,2026-03-24 08:12:52
41,1.228128,95.6900,,2026-03-24 08:13:01
42,1.458678,95.5100,,2026-03-24 08:13:09
43,0.207063,97.5200,,2026-03-24 08:13:17
44,0.316703,97.8500,,2026-03-24 08:13:25
45,0.382255,97.5500,,2026-03-24 08:13:33
46,0.501096,96.7900,,2026-03-24 08:13:42
47,0.398770,97.7000,,2026-03-24 08:13:51
48,0.640745,96.8500,,2026-03-24 08:13:59
49,0.424364,97.4300,,2026-03-24 08:14:07
50,0.258716,97.0200,,2026-03-24 08:14:15
