round,loss,accuracy,asr,timestamp
1,16.542283,14.5300,,2026-03-24 08:28:51
2,3.221769,56.3500,,2026-03-24 08:28:59
3,0.911112,81.4500,,2026-03-24 08:29:06
4,1.710485,74.8000,,2026-03-24 08:29:14
5,0.218713,94.9000,,2026-03-24 08:29:24
6,0.246882,94.9000,,2026-03-24 08:29:33
7,2.478920,73.2600,,2026-03-24 08:29:42
8,0.151324,96.3600,,2026-03-24 08:29:51
9,0.228544,95.2300,,2026-03-24 08:29:59
10,0.402320,93.7600,,2026-03-24 08:30:07
11,0.626766,92.2300,,2026-03-24 08:30:16
12,0.544992,92.8400,,2026-03-24 08:30:24
13,8.522926,72.1000,,2026-03-24 08:30:32
14,0.435332,94.8100,,2026-03-24 08:30:41
15,0.630200,93.8400,,2026-03-24 08:30:50
16,0.218732,96.4700,,2026-03-24 08:30:59
17,0.308517,96.5300,,2026-03-24 08:31:10
18,0.103011,97.0800,,2026-03-24 08:31:20
19,0.125729,97.1200,,2026-03-24 08:31:29
20,0.085746,97.7600,,2026-03-24 08:31:36
21,0.258547,96.4100,,2026-03-24 08:31:46
22,0.448628,95.7200,,2026-03-24 08:31:55
23,1.191031,92.1100,,2026-03-24 08:32:05
24,1.148870,92.5300,,2026-03-24 08:32:14
25,0.077483,97.7000,,2026-03-24 08:32:22
26,0.169597,97.3100,,2026-03-24 08:32:31
27,0.838643,94.8400,,2026-03-24 08:32:41
28,3.152520,87.3200,,2026-03-24 08:32:49
29,8.788145,73.0700,,2026-03-24 08:32:56
30,0.992181,94.3700,,2026-03-24 08:33:05
31,0.164893,96.6800,,2026-03-24 08:33:13
32,0.737570,95.8000,,2026-03-24 08:33:22
33,1.299649,93.7100,,2026-03-24 08:33:30
34,0.258766,96.4500,,2026-03-24 08:33:39
35,0.246837,96.4500,,2026-03-24 08:33:47
36,8.414092,81.1300,,2026-03-24 08:33:55
37,1.075823,94.8800,,2026-03-24 08:34:03
38,1.771128,93.6900,,2026-03-24 08:34:12
39,1.188983,94.3700,,2026-03-24 08:34:20
40,2.908519,90.1100,,2026-03-24 08:34:28
41,1.293235,95.5700,,2026-03-24 08:34:36
42,1.272392,94.1100,,2026-03-24 08:34:44
43,0.654195,94.5200,,2026-03-24 08:34:53
44,0.544683,94.9500,,2026-03-24 08:35:00
45,0.909947,95.0500,,2026-03-24 08:35:09
46,0.413172,96.8200,,2026-03-24 08:35:18
47,0.459894,95.0800,,2026-03-24 08:35:25
48,1.108870,95.7000,,2026-03-24 08:35:34
49,1.079300,95.2500,,2026-03-24 08:35:43
50,0.248195,96.4100,,2026-03-24 08:35:52
