round,loss,accuracy,asr,timestamp
1,2.329069,11.3500,,2026-03-24 08:43:18
2,2.369425,10.3800,,2026-03-24 08:43:27
3,2.307083,9.1000,,2026-03-24 08:43:35
4,1.834549,55.6400,,2026-03-24 08:43:43
5,2.328141,11.1600,,2026-03-24 08:43:52
6,2.635963,11.7300,,2026-03-24 08:44:01
7,2.301755,11.2200,,2026-03-24 08:44:09
8,2.323833,5.4800,,2026-03-24 08:44:18
9,2.296989,11.5900,,2026-03-24 08:44:26
10,2.469928,10.5800,,2026-03-24 08:44:36
11,2.318245,8.0500,,2026-03-24 08:44:44
12,2.504903,9.8300,,2026-03-24 08:44:53
13,2.550368,10.2000,,2026-03-24 08:45:01
14,2.334327,14.4500,,2026-03-24 08:45:11
15,2.281606,12.2300,,2026-03-24 08:45:19
16,1.922250,24.1100,,2026-03-24 08:45:28
17,2.387960,11.3700,,2026-03-24 08:45:37
18,1.628060,61.4000,,2026-03-24 08:45:46
19,1.189635,71.0000,,2026-03-24 08:45:54
20,0.223554,93.0900,,2026-03-24 08:46:03
21,2.836652,9.9500,,2026-03-24 08:46:11
22,2.626284,8.8400,,2026-03-24 08:46:20
23,4.571566,6.2700,,2026-03-24 08:46:29
24,2.412614,12.0800,,2026-03-24 08:46:37
25,2.315484,10.5800,,2026-03-24 08:46:46
26,2.368907,9.8500,,2026-03-24 08:46:55
27,2.335656,9.7100,,2026-03-24 08:47:03
28,2.371113,9.3200,,2026-03-24 08:47:11
29,2.339768,11.8500,,2026-03-24 08:47:20
30,2.312406,11.9200,,2026-03-24 08:47:29
31,2.324036,9.9500,,2026-03-24 08:47:38
32,2.361740,9.2600,,2026-03-24 08:47:46
33,2.960772,7.8800,,2026-03-24 08:47:55
34,2.077913,30.7800,,2026-03-24 08:48:03
35,2.395049,8.7000,,2026-03-24 08:48:12
36,2.322994,9.7500,,2026-03-24 08:48:20
37,2.165986,30.5600,,2026-03-24 08:48:28
38,2.247020,21.3500,,2026-03-24 08:48:38
39,2.404745,11.3500,,2026-03-24 08:48:46
40,2.390335,9.1800,,2026-03-24 08:48:55
41,2.554737,11.1100,,2026-03-24 08:49:03
42,2.333608,16.8400,,2026-03-24 08:49:11
43,2.348875,11.4700,,2026-03-24 08:49:19
44,2.291081,11.6400,,2026-03-24 08:49:28
45,2.314285,12.2100,,2026-03-24 08:49:36
46,2.350437,6.0000,,2026-03-24 08:49:45
47,2.361880,11.4900,,2026-03-24 08:49:54
48,2.275506,16.2000,,2026-03-24 08:50:02
49,2.265876,11.8500,,2026-03-24 08:50:10
50,1.898130,33.0400,,2026-03-24 08:50:19
