round,loss,accuracy,asr,timestamp
1,2.353587,9.7400,,2026-03-24 08:58:13
2,2.338481,9.8000,,2026-03-24 08:58:21
3,2.162609,36.8000,,2026-03-24 08:58:29
4,2.305271,10.2700,,2026-03-24 08:58:37
5,2.325066,9.7400,,2026-03-24 08:58:47
6,2.432075,4.6300,,2026-03-24 08:58:55
7,1.602905,45.9600,,2026-03-24 08:59:04
8,0.387957,88.9200,,2026-03-24 08:59:13
9,0.556013,88.8800,,2026-03-24 08:59:21
10,1.521328,69.8500,,2026-03-24 08:59:30
11,0.276246,91.2900,,2026-03-24 08:59:39
12,1.165622,86.8000,,2026-03-24 08:59:47
13,1.969056,26.3700,,2026-03-24 08:59:55
14,0.974415,84.4400,,2026-03-24 09:00:03
15,0.566189,86.9300,,2026-03-24 09:00:13
16,0.189806,93.6000,,2026-03-24 09:00:22
17,1.255661,75.1300,,2026-03-24 09:00:31
18,1.601957,71.5900,,2026-03-24 09:00:41
19,0.265847,92.2100,,2026-03-24 09:00:49
20,0.163655,94.7500,,2026-03-24 09:00:57
21,1.382638,86.2300,,2026-03-24 09:01:06
22,2.130552,27.4500,,2026-03-24 09:01:14
23,2.110520,36.1400,,2026-03-24 09:01:24
24,2.280069,14.1800,,2026-03-24 09:01:34
25,1.679046,60.6600,,2026-03-24 09:01:42
26,2.301756,21.6700,,2026-03-24 09:01:50
27,2.322471,11.9500,,2026-03-24 09:01:59
28,2.604441,3.2900,,2026-03-24 09:02:07
29,2.886772,9.2600,,2026-03-24 09:02:14
30,2.267643,14.0300,,2026-03-24 09:02:23
31,2.308408,11.7500,,2026-03-24 09:02:31
32,2.423656,18.5100,,2026-03-24 09:02:39
33,2.303107,14.1900,,2026-03-24 09:02:47
34,1.392314,51.2300,,2026-03-24 09:02:56
35,2.314115,9.5800,,2026-03-24 09:03:03
36,2.339839,7.7100,,2026-03-24 09:03:12
37,2.289021,10.4000,,2026-03-24 09:03:20
38,1.146692,71.3700,,2026-03-24 09:03:28
39,2.294598,15.3800,,2026-03-24 09:03:36
40,2.494154,10.7600,,2026-03-24 09:03:44
41,2.337446,8.1100,,2026-03-24 09:03:52
42,2.098399,19.0700,,2026-03-24 09:04:01
43,0.950886,66.3700,,2026-03-24 09:04:09
44,0.866426,77.9000,,2026-03-24 09:04:16
45,0.693521,81.7600,,2026-03-24 09:04:25
46,0.536499,87.4600,,2026-03-24 09:04:34
47,0.541690,85.2600,,2026-03-24 09:04:41
48,1.686006,62.0300,,2026-03-24 09:04:50
49,0.719672,91.3000,,2026-03-24 09:04:59
50,1.850253,56.6500,,2026-03-24 09:05:08
