round,loss,accuracy,asr,timestamp
1,2.566846,21.1700,89.2666,2026-03-26 11:16:31
2,0.486674,87.5100,0.6910,2026-03-26 11:16:42
3,0.371490,87.8500,97.3919,2026-03-26 11:16:54
4,0.200252,93.9900,68.5243,2026-03-26 11:17:05
5,0.175798,94.8300,99.4427,2026-03-26 11:17:16
6,0.116275,96.2700,99.1864,2026-03-26 11:17:28
7,0.094113,97.1700,99.7548,2026-03-26 11:17:39
8,0.109413,96.3400,96.2662,2026-03-26 11:17:50
9,0.079351,97.3900,99.5765,2026-03-26 11:18:02
10,0.098753,96.5500,99.7214,2026-03-26 11:18:13
11,0.076275,97.5000,99.4984,2026-03-26 11:18:24
12,0.086887,97.2800,99.7548,2026-03-26 11:18:36
13,0.066642,98.0000,99.8551,2026-03-26 11:18:47
14,0.060322,98.1300,100.0000,2026-03-26 11:18:59
15,0.067023,97.8200,99.7436,2026-03-26 11:19:10
16,0.068735,97.8300,99.9108,2026-03-26 11:19:21
17,0.093161,97.0200,100.0000,2026-03-26 11:19:33
18,0.063721,97.9400,99.6099,2026-03-26 11:19:44
19,0.108301,96.5200,99.7659,2026-03-26 11:19:56
20,0.035073,98.8600,99.7548,2026-03-26 11:20:08
21,0.036194,98.8300,99.9889,2026-03-26 11:20:19
22,0.038446,98.8000,99.9331,2026-03-26 11:20:30
23,0.039643,98.6500,99.9443,2026-03-26 11:20:42
24,0.044479,98.5200,99.9443,2026-03-26 11:20:53
25,0.068684,97.8400,99.9554,2026-03-26 11:21:04
26,0.061692,98.0900,100.0000,2026-03-26 11:21:16
27,0.050483,98.4900,99.5542,2026-03-26 11:21:27
28,0.035974,98.8100,99.9777,2026-03-26 11:21:38
29,0.033249,98.9300,99.9443,2026-03-26 11:21:50
30,0.037701,98.7200,99.9889,2026-03-26 11:22:01
31,0.054552,98.3600,99.8328,2026-03-26 11:22:12
32,0.039008,98.7900,99.9666,2026-03-26 11:22:24
33,0.029809,99.0500,99.9554,2026-03-26 11:22:35
34,0.045452,98.5700,99.9777,2026-03-26 11:22:46
35,0.033374,98.9300,99.9666,2026-03-26 11:22:58
36,0.035198,99.0100,99.9108,2026-03-26 11:23:09
37,0.052735,98.3500,99.9889,2026-03-26 11:23:20
38,0.045817,98.5400,99.8663,2026-03-26 11:23:32
39,0.039044,98.8000,99.9331,2026-03-26 11:23:43
40,0.031172,99.0700,99.9777,2026-03-26 11:23:54
41,0.025515,99.1300,99.9108,2026-03-26 11:24:06
42,0.036530,98.9400,100.0000,2026-03-26 11:24:17
43,0.027704,99.0800,99.9777,2026-03-26 11:24:29
44,0.038111,98.9100,99.9777,2026-03-26 11:24:41
45,0.035571,98.8900,99.9666,2026-03-26 11:24:54
46,0.035581,98.8600,99.8885,2026-03-26 11:25:06
47,0.031736,99.0300,99.9666,2026-03-26 11:25:16
48,0.029703,99.0900,99.9666,2026-03-26 11:25:27
49,0.026164,99.1400,99.9554,2026-03-26 11:25:38
50,0.040671,98.7500,99.9889,2026-03-26 11:25:48
