round,loss,accuracy,asr,timestamp
1,2.899558,24.5900,95.5194,2026-03-26 11:43:18
2,0.413211,87.6300,38.4418,2026-03-26 11:43:28
3,0.620176,78.5100,99.9666,2026-03-26 11:43:37
4,0.385919,86.6700,58.1476,2026-03-26 11:43:47
5,0.167003,94.3800,99.9443,2026-03-26 11:43:59
6,0.120814,96.2800,99.8885,2026-03-26 11:44:10
7,0.152921,94.9400,99.9331,2026-03-26 11:44:21
8,0.145770,95.4500,99.8551,2026-03-26 11:44:32
9,0.104699,96.6400,99.8663,2026-03-26 11:44:42
10,0.102513,96.8600,99.9331,2026-03-26 11:44:53
11,0.080111,97.5900,99.9777,2026-03-26 11:45:04
12,0.076719,97.7200,99.9554,2026-03-26 11:45:14
13,0.072535,97.6900,99.9554,2026-03-26 11:45:24
14,0.090590,97.0600,99.9331,2026-03-26 11:45:35
15,0.067743,97.9100,99.9889,2026-03-26 11:45:47
16,0.147647,95.6700,98.8185,2026-03-26 11:45:57
17,0.172148,94.3500,99.9443,2026-03-26 11:46:09
18,0.129359,96.0100,99.9331,2026-03-26 11:46:21
19,0.194660,93.5600,100.0000,2026-03-26 11:46:31
20,0.051668,98.3000,99.9220,2026-03-26 11:46:40
21,0.093754,96.9700,99.9889,2026-03-26 11:46:51
22,0.055087,98.2800,99.9666,2026-03-26 11:47:01
23,0.074059,97.7300,99.9889,2026-03-26 11:47:13
24,0.060285,98.0300,99.9889,2026-03-26 11:47:25
25,0.072391,97.6700,99.9889,2026-03-26 11:47:35
26,0.045484,98.4500,99.9108,2026-03-26 11:47:45
27,0.059207,98.1400,99.9889,2026-03-26 11:47:56
28,0.041328,98.7100,99.8328,2026-03-26 11:48:06
29,0.048192,98.4700,99.9666,2026-03-26 11:48:16
30,0.064770,97.9900,99.9443,2026-03-26 11:48:27
31,0.086421,97.2200,99.9889,2026-03-26 11:48:37
32,0.067819,97.8900,99.9777,2026-03-26 11:48:47
33,0.035939,98.8800,99.9554,2026-03-26 11:48:58
34,0.072094,97.7100,99.9666,2026-03-26 11:49:09
35,0.066835,98.0300,99.9666,2026-03-26 11:49:18
36,0.042536,98.6600,99.9666,2026-03-26 11:49:29
37,0.088236,97.6100,99.9666,2026-03-26 11:49:38
38,0.116348,96.6400,99.9666,2026-03-26 11:49:49
39,0.204996,93.9100,99.9554,2026-03-26 11:49:59
40,0.064656,97.9700,99.9443,2026-03-26 11:50:08
41,0.044849,98.6800,99.9666,2026-03-26 11:50:18
42,0.071260,97.8900,99.7659,2026-03-26 11:50:29
43,0.065109,97.9100,99.9889,2026-03-26 11:50:39
44,0.085075,97.4900,99.9443,2026-03-26 11:50:48
45,0.155015,95.6900,99.9889,2026-03-26 11:50:58
46,0.045610,98.6300,99.9554,2026-03-26 11:51:09
47,0.052738,98.3500,99.9554,2026-03-26 11:51:18
48,0.040028,98.7500,99.9554,2026-03-26 11:51:28
49,0.043122,98.6500,99.9666,2026-03-26 11:51:39
50,0.052807,98.3600,99.8217,2026-03-26 11:51:50
