round,loss,accuracy,asr,timestamp
1,0.370473,88.6000,,2026-03-24 10:08:03
2,0.177062,94.5100,,2026-03-24 10:08:12
3,0.131896,95.8200,,2026-03-24 10:08:21
4,0.105620,96.5800,,2026-03-24 10:08:29
5,0.088115,97.2200,,2026-03-24 10:08:37
6,0.081469,97.4900,,2026-03-24 10:08:46
7,0.079609,97.6300,,2026-03-24 10:08:54
8,0.066329,97.8100,,2026-03-24 10:09:02
9,0.059652,98.0900,,2026-03-24 10:09:11
10,0.059587,98.1000,,2026-03-24 10:09:19
11,0.056117,98.1900,,2026-03-24 10:09:27
12,0.048812,98.5200,,2026-03-24 10:09:36
13,0.046068,98.5600,,2026-03-24 10:09:45
14,0.045431,98.5100,,2026-03-24 10:09:53
15,0.043209,98.6200,,2026-03-24 10:10:01
16,0.042984,98.6700,,2026-03-24 10:10:09
17,0.040121,98.7400,,2026-03-24 10:10:18
18,0.037556,98.8100,,2026-03-24 10:10:26
19,0.036291,98.8200,,2026-03-24 10:10:35
20,0.036992,98.8000,,2026-03-24 10:10:43
21,0.037244,98.7800,,2026-03-24 10:10:51
22,0.036010,98.8600,,2026-03-24 10:11:00
23,0.035221,98.9100,,2026-03-24 10:11:08
24,0.032402,98.9200,,2026-03-24 10:11:16
25,0.031385,98.9600,,2026-03-24 10:11:25
26,0.030837,99.0100,,2026-03-24 10:11:34
27,0.031627,98.9200,,2026-03-24 10:11:42
28,0.031879,98.9200,,2026-03-24 10:11:50
29,0.031442,98.9300,,2026-03-24 10:11:58
30,0.029557,99.0000,,2026-03-24 10:12:07
31,0.028758,98.9600,,2026-03-24 10:12:15
32,0.028276,98.9900,,2026-03-24 10:12:24
33,0.027945,99.0900,,2026-03-24 10:12:32
34,0.028862,99.0600,,2026-03-24 10:12:40
35,0.028935,99.0100,,2026-03-24 10:12:48
36,0.027612,99.0200,,2026-03-24 10:12:57
37,0.028694,99.0000,,2026-03-24 10:13:05
38,0.028274,99.0400,,2026-03-24 10:13:14
39,0.029602,99.0500,,2026-03-24 10:13:22
40,0.028364,99.0600,,2026-03-24 10:13:31
41,0.026746,99.0600,,2026-03-24 10:13:39
42,0.029323,99.0400,,2026-03-24 10:13:47
43,0.025551,99.0700,,2026-03-24 10:13:55
44,0.027150,99.0900,,2026-03-24 10:14:04
45,0.025448,99.1000,,2026-03-24 10:14:12
46,0.026172,99.1300,,2026-03-24 10:14:21
47,0.025693,99.2200,,2026-03-24 10:14:29
48,0.027708,99.1700,,2026-03-24 10:14:37
49,0.025941,99.1700,,2026-03-24 10:14:46
50,0.026013,99.2100,,2026-03-24 10:14:54
