round,loss,accuracy,asr,timestamp
1,1.177632,54.3800,,2026-03-24 10:29:02
2,0.468634,84.8700,,2026-03-24 10:29:09
3,0.289545,90.8100,,2026-03-24 10:29:17
4,0.183271,94.0800,,2026-03-24 10:29:25
5,0.135274,95.6900,,2026-03-24 10:29:35
6,0.108548,96.4700,,2026-03-24 10:29:43
7,0.116760,96.5500,,2026-03-24 10:29:52
8,0.098175,97.1200,,2026-03-24 10:30:02
9,0.103506,96.6300,,2026-03-24 10:30:09
10,0.088266,97.2200,,2026-03-24 10:30:18
11,0.090982,97.3000,,2026-03-24 10:30:27
12,0.083720,97.2800,,2026-03-24 10:30:35
13,0.074658,97.6800,,2026-03-24 10:30:43
14,0.066489,97.9300,,2026-03-24 10:30:51
15,0.067816,97.9800,,2026-03-24 10:31:01
16,0.069920,97.8100,,2026-03-24 10:31:10
17,0.060989,97.8900,,2026-03-24 10:31:20
18,0.060189,98.1400,,2026-03-24 10:31:29
19,0.060180,98.0200,,2026-03-24 10:31:37
20,0.061326,97.9400,,2026-03-24 10:31:45
21,0.060052,97.9800,,2026-03-24 10:31:53
22,0.049967,98.3500,,2026-03-24 10:32:02
23,0.041874,98.6600,,2026-03-24 10:32:12
24,0.048285,98.3900,,2026-03-24 10:32:21
25,0.046470,98.4700,,2026-03-24 10:32:29
26,0.045489,98.6000,,2026-03-24 10:32:38
27,0.040538,98.7300,,2026-03-24 10:32:47
28,0.045310,98.5400,,2026-03-24 10:32:55
29,0.044781,98.6100,,2026-03-24 10:33:02
30,0.044754,98.4900,,2026-03-24 10:33:11
31,0.046629,98.4200,,2026-03-24 10:33:19
32,0.041461,98.5700,,2026-03-24 10:33:28
33,0.045121,98.4700,,2026-03-24 10:33:36
34,0.038066,98.7200,,2026-03-24 10:33:44
35,0.042141,98.5900,,2026-03-24 10:33:52
36,0.036995,98.8100,,2026-03-24 10:34:00
37,0.042051,98.6300,,2026-03-24 10:34:07
38,0.038388,98.7900,,2026-03-24 10:34:16
39,0.039119,98.7000,,2026-03-24 10:34:24
40,0.038446,98.7300,,2026-03-24 10:34:32
41,0.034259,98.8800,,2026-03-24 10:34:40
42,0.036532,98.8600,,2026-03-24 10:34:48
43,0.038999,98.7300,,2026-03-24 10:34:56
44,0.035912,98.8800,,2026-03-24 10:35:04
45,0.035661,98.9300,,2026-03-24 10:35:12
46,0.034322,98.8300,,2026-03-24 10:35:21
47,0.037767,98.7600,,2026-03-24 10:35:28
48,0.033786,98.9100,,2026-03-24 10:35:37
49,0.032673,98.8900,,2026-03-24 10:35:47
50,0.033392,98.8900,,2026-03-24 10:35:55
