round,loss,accuracy,asr,timestamp
1,0.923159,84.0600,1.6942,2026-03-26 13:09:20
2,0.536386,93.3700,0.9140,2026-03-26 13:09:30
3,0.199886,95.5100,0.5239,2026-03-26 13:09:41
4,0.169514,96.1600,0.5461,2026-03-26 13:09:51
5,0.108890,97.0000,0.3009,2026-03-26 13:10:02
6,0.196723,96.6900,0.4124,2026-03-26 13:10:12
7,0.202129,97.3300,0.4124,2026-03-26 13:10:22
8,0.091906,97.5600,0.2564,2026-03-26 13:10:33
9,0.109471,97.7100,0.3901,2026-03-26 13:10:43
10,0.174731,97.7600,0.3901,2026-03-26 13:10:53
11,0.097462,97.8700,0.2898,2026-03-26 13:11:04
12,0.094213,97.8400,0.2341,2026-03-26 13:11:14
13,0.187380,97.9100,0.3121,2026-03-26 13:11:25
14,0.100902,97.9100,0.2452,2026-03-26 13:11:35
15,0.170199,98.0900,0.2675,2026-03-26 13:11:45
16,0.071601,98.2500,0.2341,2026-03-26 13:11:55
17,0.140101,98.2900,0.2341,2026-03-26 13:12:06
18,0.059010,98.3300,0.2452,2026-03-26 13:12:16
19,0.061977,98.4200,0.2006,2026-03-26 13:12:26
20,0.051020,98.4700,0.2675,2026-03-26 13:12:37
21,0.107414,98.4200,0.2786,2026-03-26 13:12:47
22,0.167789,98.2300,0.2452,2026-03-26 13:12:57
23,0.156156,98.3200,0.1672,2026-03-26 13:13:07
24,0.072990,98.4500,0.2341,2026-03-26 13:13:18
25,0.053199,98.5600,0.1895,2026-03-26 13:13:28
26,0.048223,98.6300,0.1895,2026-03-26 13:13:38
27,0.119554,98.5200,0.2452,2026-03-26 13:13:48
28,0.153040,98.2000,0.2118,2026-03-26 13:13:59
29,0.152862,98.4800,0.2341,2026-03-26 13:14:09
30,0.080943,98.4600,0.1895,2026-03-26 13:14:19
31,0.062118,98.5900,0.2564,2026-03-26 13:14:30
32,0.132486,98.5400,0.1895,2026-03-26 13:14:40
33,0.074348,98.5800,0.2118,2026-03-26 13:14:51
34,0.053746,98.6900,0.2564,2026-03-26 13:15:01
35,0.061804,98.6000,0.2229,2026-03-26 13:15:11
36,0.140083,98.6600,0.2786,2026-03-26 13:15:22
37,0.068281,98.7500,0.1560,2026-03-26 13:15:32
38,0.063207,98.7800,0.2229,2026-03-26 13:15:42
39,0.058612,98.8500,0.1895,2026-03-26 13:15:53
40,0.121538,98.6600,0.1895,2026-03-26 13:16:03
41,0.176503,98.4100,0.2786,2026-03-26 13:16:14
42,0.146531,98.4800,0.2006,2026-03-26 13:16:24
43,0.051557,98.7400,0.1560,2026-03-26 13:16:34
44,0.058122,98.7200,0.1895,2026-03-26 13:16:44
45,0.059743,98.7900,0.1672,2026-03-26 13:16:55
46,0.061587,98.7200,0.1783,2026-03-26 13:17:05
47,0.054810,98.7500,0.1560,2026-03-26 13:17:15
48,0.051825,98.9100,0.2118,2026-03-26 13:17:26
49,0.054838,98.7700,0.1560,2026-03-26 13:17:36
50,0.043946,98.8400,0.1449,2026-03-26 13:17:46
