round,loss,accuracy,asr,timestamp
1,1.889165,61.9100,,2026-03-24 11:11:25
2,0.886275,78.8000,,2026-03-24 11:11:33
3,0.428787,86.7500,,2026-03-24 11:11:41
4,0.239447,93.0300,,2026-03-24 11:11:49
5,0.167148,95.1900,,2026-03-24 11:11:58
6,0.161273,96.1600,,2026-03-24 11:12:06
7,0.138008,95.8700,,2026-03-24 11:12:16
8,0.106289,96.8500,,2026-03-24 11:12:25
9,0.115784,96.4500,,2026-03-24 11:12:33
10,0.104271,96.9900,,2026-03-24 11:12:42
11,0.102831,96.7100,,2026-03-24 11:12:51
12,0.100845,96.9400,,2026-03-24 11:13:00
13,0.084813,97.5200,,2026-03-24 11:13:08
14,0.082911,97.5600,,2026-03-24 11:13:17
15,0.078584,97.8500,,2026-03-24 11:13:27
16,0.075758,97.6900,,2026-03-24 11:13:36
17,0.082154,97.6900,,2026-03-24 11:13:45
18,0.072783,97.8800,,2026-03-24 11:13:54
19,0.073436,97.8100,,2026-03-24 11:14:03
20,0.067584,97.9800,,2026-03-24 11:14:10
21,0.069374,98.0400,,2026-03-24 11:14:19
22,0.062275,98.2900,,2026-03-24 11:14:28
23,0.054289,98.4700,,2026-03-24 11:14:37
24,0.058719,98.2400,,2026-03-24 11:14:47
25,0.056681,98.3100,,2026-03-24 11:14:55
26,0.054289,98.4500,,2026-03-24 11:15:04
27,0.051846,98.5600,,2026-03-24 11:15:14
28,0.061598,98.3200,,2026-03-24 11:15:21
29,0.058251,98.3000,,2026-03-24 11:15:29
30,0.058130,98.2500,,2026-03-24 11:15:38
31,0.059477,98.2200,,2026-03-24 11:15:47
32,0.052850,98.3500,,2026-03-24 11:15:56
33,0.055903,98.3900,,2026-03-24 11:16:04
34,0.045588,98.5400,,2026-03-24 11:16:13
35,0.049704,98.5700,,2026-03-24 11:16:20
36,0.046428,98.7100,,2026-03-24 11:16:29
37,0.048673,98.5600,,2026-03-24 11:16:36
38,0.045336,98.5800,,2026-03-24 11:16:46
39,0.051081,98.5700,,2026-03-24 11:16:54
40,0.049232,98.5900,,2026-03-24 11:17:01
41,0.046395,98.7400,,2026-03-24 11:17:10
42,0.048366,98.6200,,2026-03-24 11:17:19
43,0.049269,98.4900,,2026-03-24 11:17:27
44,0.045415,98.6700,,2026-03-24 11:17:35
45,0.044501,98.6700,,2026-03-24 11:17:44
46,0.045388,98.6000,,2026-03-24 11:17:52
47,0.047093,98.5900,,2026-03-24 11:17:59
48,0.043020,98.7200,,2026-03-24 11:18:09
49,0.041688,98.6800,,2026-03-24 11:18:19
50,0.040998,98.7500,,2026-03-24 11:18:27
