round,loss,accuracy,asr,timestamp
1,0.390126,87.7800,0.0000,2026-03-24 11:40:48
2,0.188141,94.6600,0.0881,2026-03-24 11:40:57
3,0.133073,96.0500,0.1762,2026-03-24 11:41:07
4,0.100588,96.8700,0.1762,2026-03-24 11:41:16
5,0.092641,97.0500,0.0000,2026-03-24 11:41:25
6,0.081814,97.4700,0.2643,2026-03-24 11:41:34
7,0.070440,97.9600,0.0000,2026-03-24 11:41:43
8,0.064868,98.0400,0.0000,2026-03-24 11:41:52
9,0.060762,98.2100,0.0000,2026-03-24 11:42:02
10,0.055554,98.2800,0.0000,2026-03-24 11:42:11
11,0.052839,98.2900,0.0000,2026-03-24 11:42:20
12,0.050885,98.3500,0.0000,2026-03-24 11:42:30
13,0.050523,98.4500,0.0000,2026-03-24 11:42:39
14,0.044605,98.6700,0.0000,2026-03-24 11:42:48
15,0.044458,98.6300,0.0000,2026-03-24 11:42:57
16,0.040391,98.7500,0.0000,2026-03-24 11:43:06
17,0.039728,98.7000,0.0000,2026-03-24 11:43:15
18,0.038593,98.7700,0.0000,2026-03-24 11:43:24
19,0.037769,98.7100,0.0000,2026-03-24 11:43:33
20,0.036614,98.8200,0.0000,2026-03-24 11:43:43
21,0.035434,98.7000,0.0000,2026-03-24 11:43:52
22,0.035729,98.8500,0.0000,2026-03-24 11:44:01
23,0.034949,98.9100,0.0000,2026-03-24 11:44:11
24,0.031091,98.9400,0.0000,2026-03-24 11:44:21
25,0.031008,98.9100,0.0000,2026-03-24 11:44:30
26,0.032544,98.8600,0.0000,2026-03-24 11:44:40
27,0.033628,98.8000,0.0000,2026-03-24 11:44:49
28,0.031570,98.8300,0.0000,2026-03-24 11:45:00
29,0.034037,98.9000,0.0000,2026-03-24 11:45:09
30,0.030555,98.9100,0.0000,2026-03-24 11:45:19
31,0.030384,98.8800,0.0000,2026-03-24 11:45:28
32,0.029660,98.9800,0.0000,2026-03-24 11:45:38
33,0.032562,98.9100,0.0000,2026-03-24 11:45:48
34,0.027818,99.0700,0.0000,2026-03-24 11:45:58
35,0.029983,98.9600,0.0000,2026-03-24 11:46:08
36,0.027686,99.1000,0.0000,2026-03-24 11:46:18
37,0.030978,98.9500,0.0000,2026-03-24 11:46:27
38,0.028630,98.9600,0.0000,2026-03-24 11:46:37
39,0.029413,99.0000,0.0000,2026-03-24 11:46:47
40,0.029388,98.9700,0.0000,2026-03-24 11:46:56
41,0.031486,99.0000,0.0000,2026-03-24 11:47:06
42,0.027012,99.0200,0.0000,2026-03-24 11:47:15
43,0.028078,99.0400,0.0000,2026-03-24 11:47:24
44,0.027661,99.0700,0.0000,2026-03-24 11:47:34
45,0.027631,99.0000,0.0000,2026-03-24 11:47:43
46,0.027811,99.0600,0.0000,2026-03-24 11:47:53
47,0.027269,99.0200,0.0000,2026-03-24 11:48:02
48,0.025972,99.0600,0.0000,2026-03-24 11:48:12
49,0.027722,99.0900,0.0000,2026-03-24 11:48:21
50,0.027296,99.0800,0.0000,2026-03-24 11:48:31
