round,loss,accuracy,asr,timestamp
1,1.165050,66.1600,0.0000,2026-03-24 12:13:03
2,0.338804,89.8600,0.1762,2026-03-24 12:13:11
3,0.240161,92.9500,0.0000,2026-03-24 12:13:20
4,0.162443,95.5600,0.0881,2026-03-24 12:13:29
5,0.128895,96.2100,0.1762,2026-03-24 12:13:39
6,0.110455,96.8900,0.1762,2026-03-24 12:13:48
7,0.136190,95.7300,0.0000,2026-03-24 12:13:57
8,0.088769,97.1900,0.1762,2026-03-24 12:14:07
9,0.089815,97.2000,0.0000,2026-03-24 12:14:16
10,0.083823,97.4800,0.0000,2026-03-24 12:14:25
11,0.085915,97.1700,0.0000,2026-03-24 12:14:34
12,0.076499,97.6300,0.0000,2026-03-24 12:14:43
13,0.067823,97.9200,0.0000,2026-03-24 12:14:52
14,0.064325,98.0300,0.1762,2026-03-24 12:15:01
15,0.061713,98.0400,0.0000,2026-03-24 12:15:12
16,0.064401,97.9200,0.0000,2026-03-24 12:15:21
17,0.058802,98.2600,0.0000,2026-03-24 12:15:33
18,0.054986,98.3700,0.0000,2026-03-24 12:15:45
19,0.059656,98.1400,0.0000,2026-03-24 12:15:55
20,0.056233,98.2600,0.0000,2026-03-24 12:16:04
21,0.050752,98.4200,0.0000,2026-03-24 12:16:14
22,0.044542,98.6200,0.0000,2026-03-24 12:16:25
23,0.047194,98.5400,0.0000,2026-03-24 12:16:36
24,0.047253,98.5400,0.0000,2026-03-24 12:16:47
25,0.046405,98.6100,0.0000,2026-03-24 12:16:56
26,0.043011,98.7300,0.0000,2026-03-24 12:17:06
27,0.041845,98.7100,0.0000,2026-03-24 12:17:17
28,0.040729,98.6900,0.0000,2026-03-24 12:17:26
29,0.042940,98.6600,0.0000,2026-03-24 12:17:34
30,0.038522,98.7800,0.0881,2026-03-24 12:17:45
31,0.042794,98.5900,0.0000,2026-03-24 12:17:54
32,0.045773,98.5500,0.0000,2026-03-24 12:18:04
33,0.042250,98.6100,0.0000,2026-03-24 12:18:14
34,0.039842,98.6600,0.0000,2026-03-24 12:18:24
35,0.038008,98.8200,0.0000,2026-03-24 12:18:33
36,0.035275,98.9000,0.0000,2026-03-24 12:18:43
37,0.037820,98.8300,0.0000,2026-03-24 12:18:52
38,0.035888,98.8200,0.0000,2026-03-24 12:19:02
39,0.038419,98.8500,0.0881,2026-03-24 12:19:11
40,0.034252,98.9600,0.0000,2026-03-24 12:19:20
41,0.033336,98.9300,0.0881,2026-03-24 12:19:29
42,0.036844,98.8900,0.0000,2026-03-24 12:19:39
43,0.038733,98.7400,0.0000,2026-03-24 12:19:49
44,0.035119,98.8400,0.0000,2026-03-24 12:19:57
45,0.033362,98.8800,0.0000,2026-03-24 12:20:07
46,0.036689,98.7600,0.1762,2026-03-24 12:20:17
47,0.035341,98.8700,0.0000,2026-03-24 12:20:26
48,0.034147,98.9400,0.0000,2026-03-24 12:20:36
49,0.032739,98.9600,0.0000,2026-03-24 12:20:46
50,0.033157,98.9100,0.0000,2026-03-24 12:20:56
