round,loss,accuracy,asr,evasion_rate,timestamp
1,1.622208,37.3100,33.6937,50.0000,2026-06-07 15:11:53
2,0.550956,83.4600,4.9710,75.0000,2026-06-07 15:12:02
3,0.318432,90.1800,1.7945,0.0000,2026-06-07 15:12:11
4,0.182610,94.5600,0.5350,0.0000,2026-06-07 15:12:20
5,0.136928,95.9700,1.0700,100.0000,2026-06-07 15:12:30
6,0.655047,79.2200,100.0000,100.0000,2026-06-07 15:12:40
7,0.205894,93.5700,78.1320,0.0000,2026-06-07 15:12:50
8,0.095280,96.9500,80.0602,50.0000,2026-06-07 15:13:00
9,0.104952,96.8000,77.0062,50.0000,2026-06-07 15:13:09
10,0.087628,97.4500,93.2234,100.0000,2026-06-07 15:13:19
11,0.080496,97.4100,92.5658,50.0000,2026-06-07 15:13:29
12,0.077989,97.5900,99.5542,100.0000,2026-06-07 15:13:38
13,0.065850,97.9600,99.3535,50.0000,2026-06-07 15:13:47
14,0.064204,97.9800,98.9412,100.0000,2026-06-07 15:13:56
15,0.072301,97.7500,92.7329,0.0000,2026-06-07 15:14:07
16,0.059869,97.9700,90.3255,100.0000,2026-06-07 15:14:17
17,0.055476,98.1000,85.3656,100.0000,2026-06-07 15:14:27
18,0.053413,98.1600,82.0776,0.0000,2026-06-07 15:14:38
19,0.051937,98.2300,80.4726,100.0000,2026-06-07 15:14:47
20,0.055097,98.1600,80.4057,,2026-06-07 15:14:56
21,0.052403,98.2600,80.0045,100.0000,2026-06-07 15:15:06
22,0.050146,98.2300,75.5350,50.0000,2026-06-07 15:15:15
23,0.049409,98.3300,72.5702,66.6667,2026-06-07 15:15:26
24,0.051261,98.2900,63.3972,0.0000,2026-06-07 15:15:36
25,0.043091,98.5800,68.0450,100.0000,2026-06-07 15:15:46
26,0.046221,98.5500,54.9264,50.0000,2026-06-07 15:15:55
27,0.041771,98.6300,63.4530,100.0000,2026-06-07 15:16:05
28,0.049626,98.4100,65.2586,75.0000,2026-06-07 15:16:14
29,0.043548,98.5700,69.4605,33.3333,2026-06-07 15:16:23
30,0.037356,98.8100,63.3861,100.0000,2026-06-07 15:16:33
