round,loss,accuracy,asr,evasion_rate,timestamp
1,0.564876,82.4800,1.6496,0.0000,2026-06-07 21:00:12
2,0.192986,93.9800,0.4904,0.0000,2026-06-07 21:00:21
3,0.227527,93.6900,2.3852,100.0000,2026-06-07 21:00:30
4,0.112850,96.5500,0.7133,100.0000,2026-06-07 21:00:39
5,0.099836,97.0200,0.7802,100.0000,2026-06-07 21:00:47
6,0.089626,97.4800,0.6687,100.0000,2026-06-07 21:00:56
7,0.071314,97.7200,0.4012,100.0000,2026-06-07 21:01:05
8,0.067354,97.8600,0.4235,100.0000,2026-06-07 21:01:14
9,0.064612,98.0200,0.4347,100.0000,2026-06-07 21:01:23
10,0.057557,98.0600,0.4012,100.0000,2026-06-07 21:01:32
11,0.065318,97.9700,0.6576,100.0000,2026-06-07 21:01:41
12,0.050567,98.3300,0.4124,100.0000,2026-06-07 21:01:50
13,0.058113,98.2800,0.9028,100.0000,2026-06-07 21:01:59
14,0.045412,98.5500,0.4347,100.0000,2026-06-07 21:02:07
15,0.054332,98.3200,0.8917,100.0000,2026-06-07 21:02:16
16,0.042672,98.7000,0.4570,100.0000,2026-06-07 21:02:25
17,0.039849,98.7200,0.4570,100.0000,2026-06-07 21:02:34
18,0.039475,98.6700,1.0254,100.0000,2026-06-07 21:02:43
19,0.050991,98.4100,1.9282,100.0000,2026-06-07 21:02:51
20,0.039545,98.6300,2.6638,100.0000,2026-06-07 21:03:00
21,0.034728,98.7400,1.3598,100.0000,2026-06-07 21:03:09
22,0.036356,98.8100,1.9171,100.0000,2026-06-07 21:03:18
23,0.035243,98.8000,2.2960,100.0000,2026-06-07 21:03:27
24,0.034737,98.8800,4.1462,100.0000,2026-06-07 21:03:36
25,0.033407,98.8700,2.0620,100.0000,2026-06-07 21:03:44
26,0.035614,98.7600,4.2243,100.0000,2026-06-07 21:03:53
27,0.034769,98.7800,2.5635,100.0000,2026-06-07 21:04:02
28,0.031706,98.8700,3.4329,100.0000,2026-06-07 21:04:11
29,0.034840,98.8300,7.4677,100.0000,2026-06-07 21:04:20
30,0.033357,98.8100,5.3834,100.0000,2026-06-07 21:04:29
