round,loss,accuracy,asr,evasion_rate,timestamp
1,1.715035,39.2300,39.4115,100.0000,2026-06-07 21:13:41
2,0.590631,81.9800,1.1257,33.3333,2026-06-07 21:13:50
3,0.443140,84.9800,9.4962,100.0000,2026-06-07 21:13:58
4,0.160091,95.3700,0.7802,100.0000,2026-06-07 21:14:07
5,0.153068,95.4800,1.4712,100.0000,2026-06-07 21:14:17
6,0.105872,97.0900,1.4601,100.0000,2026-06-07 21:14:25
7,0.084320,97.3800,0.7579,100.0000,2026-06-07 21:14:34
8,0.079405,97.4000,0.6799,100.0000,2026-06-07 21:14:43
9,0.073909,97.5800,0.6910,100.0000,2026-06-07 21:14:51
10,0.069423,97.6700,1.0143,100.0000,2026-06-07 21:15:00
11,0.067965,98.0000,1.5381,100.0000,2026-06-07 21:15:09
12,0.068450,97.8300,2.2403,100.0000,2026-06-07 21:15:18
13,0.071970,97.6300,2.7530,100.0000,2026-06-07 21:15:27
14,0.051482,98.2700,1.6161,100.0000,2026-06-07 21:15:36
15,0.054400,98.0900,2.5858,100.0000,2026-06-07 21:15:44
16,0.048491,98.4000,6.4088,100.0000,2026-06-07 21:15:53
17,0.045395,98.5100,3.8676,100.0000,2026-06-07 21:16:02
18,0.052821,98.1600,7.9915,100.0000,2026-06-07 21:16:11
19,0.067357,97.6600,14.4672,100.0000,2026-06-07 21:16:20
20,0.055418,98.2400,26.8836,100.0000,2026-06-07 21:16:29
21,0.043776,98.5400,17.4097,100.0000,2026-06-07 21:16:37
22,0.045751,98.3800,22.4588,100.0000,2026-06-07 21:16:46
23,0.050697,98.2500,29.3914,100.0000,2026-06-07 21:16:55
24,0.045384,98.5100,62.5502,100.0000,2026-06-07 21:17:04
25,0.040317,98.6300,45.0959,100.0000,2026-06-07 21:17:13
26,0.039341,98.7000,46.1213,100.0000,2026-06-07 21:17:21
27,0.044054,98.4300,36.6696,100.0000,2026-06-07 21:17:29
28,0.043024,98.4800,50.6687,100.0000,2026-06-07 21:17:37
29,0.047019,98.4300,71.1658,100.0000,2026-06-07 21:17:46
30,0.039663,98.5500,65.2697,100.0000,2026-06-07 21:17:55
