round,loss,accuracy,asr,evasion_rate,timestamp
1,1.629215,37.2200,30.7066,50.0000,2026-06-07 17:15:16
2,0.709702,76.7800,2.2180,50.0000,2026-06-07 17:15:24
3,0.362708,88.2600,1.1592,0.0000,2026-06-07 17:15:32
4,0.214730,93.0100,0.3567,0.0000,2026-06-07 17:15:41
5,0.148088,95.6000,0.7022,50.0000,2026-06-07 17:15:51
6,0.185819,95.4000,8.6937,100.0000,2026-06-07 17:16:00
7,0.137797,95.7600,0.5573,0.0000,2026-06-07 17:16:09
8,0.098143,96.9600,0.6353,50.0000,2026-06-07 17:16:19
9,0.103350,97.0100,1.2483,100.0000,2026-06-07 17:16:27
10,0.097236,97.0600,1.1480,100.0000,2026-06-07 17:16:37
11,0.097457,96.7600,0.6799,0.0000,2026-06-07 17:16:46
12,0.094971,97.0600,2.2849,100.0000,2026-06-07 17:16:55
13,0.080070,97.4400,3.4552,100.0000,2026-06-07 17:17:03
14,0.076639,97.6600,2.8645,100.0000,2026-06-07 17:17:12
15,0.070591,97.8200,5.9407,100.0000,2026-06-07 17:17:22
16,0.064120,97.8800,4.0794,100.0000,2026-06-07 17:17:32
17,0.057104,98.1800,2.9759,100.0000,2026-06-07 17:17:42
18,0.061322,98.0100,2.3963,0.0000,2026-06-07 17:17:52
19,0.064992,97.9100,2.0285,100.0000,2026-06-07 17:18:01
20,0.057769,98.0000,2.1511,,2026-06-07 17:18:09
21,0.051669,98.2400,1.4601,100.0000,2026-06-07 17:18:19
22,0.052677,98.3500,1.8056,75.0000,2026-06-07 17:18:28
23,0.051461,98.2900,1.2149,66.6667,2026-06-07 17:18:38
24,0.052481,98.2500,0.9362,0.0000,2026-06-07 17:18:48
25,0.044051,98.5000,1.9617,100.0000,2026-06-07 17:18:56
26,0.045263,98.5900,0.7914,100.0000,2026-06-07 17:19:05
27,0.045776,98.5200,1.3152,100.0000,2026-06-07 17:19:15
28,0.052448,98.2800,0.9474,50.0000,2026-06-07 17:19:23
29,0.041099,98.6200,1.0031,66.6667,2026-06-07 17:19:31
30,0.042559,98.6500,1.6719,50.0000,2026-06-07 17:19:40
