round,loss,accuracy,asr,evasion_rate,timestamp
1,1.742840,62.5800,,50.0000,2026-06-08 00:30:34
2,0.526690,84.2200,,0.0000,2026-06-08 00:30:43
3,0.935401,86.0800,,100.0000,2026-06-08 00:30:51
4,0.167127,95.1100,,0.0000,2026-06-08 00:31:00
5,0.182361,95.4200,,100.0000,2026-06-08 00:31:09
6,0.282836,96.8200,,100.0000,2026-06-08 00:31:17
7,0.085138,97.3500,,0.0000,2026-06-08 00:31:25
8,0.084740,97.3200,,0.0000,2026-06-08 00:31:33
9,0.089983,97.6000,,100.0000,2026-06-08 00:31:41
10,0.078446,97.6400,,50.0000,2026-06-08 00:31:49
11,0.159666,97.7100,,100.0000,2026-06-08 00:31:59
12,0.068914,97.7300,,0.0000,2026-06-08 00:32:07
13,0.113671,97.7100,,100.0000,2026-06-08 00:32:16
14,0.058100,97.9600,,0.0000,2026-06-08 00:32:25
15,0.095368,98.1600,,100.0000,2026-06-08 00:32:32
16,0.055756,98.1800,,0.0000,2026-06-08 00:32:41
17,0.049736,98.3600,,0.0000,2026-06-08 00:32:50
18,0.056662,98.2500,,100.0000,2026-06-08 00:32:58
19,0.655947,95.9200,,100.0000,2026-06-08 00:33:07
20,0.074213,97.7300,,0.0000,2026-06-08 00:33:15
21,0.053118,98.2600,,0.0000,2026-06-08 00:33:23
22,0.060556,98.1400,,100.0000,2026-06-08 00:33:31
23,0.050836,98.3300,,0.0000,2026-06-08 00:33:40
24,0.072069,98.2400,,100.0000,2026-06-08 00:33:49
25,0.048044,98.5700,,0.0000,2026-06-08 00:33:57
26,0.046151,98.4500,,0.0000,2026-06-08 00:34:04
27,0.045079,98.5000,,0.0000,2026-06-08 00:34:12
28,0.047533,98.3300,,0.0000,2026-06-08 00:34:19
29,0.060046,98.3300,,100.0000,2026-06-08 00:34:28
30,0.042878,98.5200,,0.0000,2026-06-08 00:34:36
