round,loss,accuracy,asr,evasion_rate,timestamp
1,1.460532,69.5100,,0.0000,2026-06-08 00:34:47
2,0.529638,84.2500,,0.0000,2026-06-08 00:34:56
3,0.309862,89.4400,,0.0000,2026-06-08 00:35:04
4,0.160409,95.3500,,0.0000,2026-06-08 00:35:13
5,0.135151,95.6200,,0.0000,2026-06-08 00:35:22
6,0.095309,97.0500,,0.0000,2026-06-08 00:35:30
7,0.080122,97.4600,,0.0000,2026-06-08 00:35:38
8,0.084082,97.3800,,0.0000,2026-06-08 00:35:47
9,0.078779,97.3900,,0.0000,2026-06-08 00:35:54
10,0.069830,97.7200,,0.0000,2026-06-08 00:36:02
11,0.080576,97.3200,,100.0000,2026-06-08 00:36:11
12,0.071382,97.5700,,0.0000,2026-06-08 00:36:20
13,0.081465,97.2300,,100.0000,2026-06-08 00:36:28
14,0.068314,97.5900,,0.0000,2026-06-08 00:36:37
15,0.085522,97.1500,,100.0000,2026-06-08 00:36:44
16,0.063378,97.8100,,0.0000,2026-06-08 00:36:53
17,0.055477,98.2400,,0.0000,2026-06-08 00:37:01
18,0.054672,98.1400,,0.0000,2026-06-08 00:37:09
19,526.874360,12.8400,,100.0000,2026-06-08 00:37:18
20,1.668312,53.5600,,0.0000,2026-06-08 00:37:26
21,0.436516,88.3800,,0.0000,2026-06-08 00:37:34
22,0.210803,93.2800,,0.0000,2026-06-08 00:37:43
23,0.172437,94.3900,,0.0000,2026-06-08 00:37:51
24,0.148251,95.1300,,33.3333,2026-06-08 00:38:00
25,0.133610,95.6400,,0.0000,2026-06-08 00:38:08
26,0.128784,95.7600,,0.0000,2026-06-08 00:38:16
27,0.119865,96.0700,,0.0000,2026-06-08 00:38:23
28,0.111245,96.3600,,0.0000,2026-06-08 00:38:31
29,0.127038,95.9000,,100.0000,2026-06-08 00:38:40
30,0.100070,96.7200,,0.0000,2026-06-08 00:38:49
