round,loss,accuracy,asr,evasion_rate,timestamp
1,1.693969,36.6700,32.5680,50.0000,2026-06-07 22:52:39
2,0.702204,77.0900,1.6942,50.0000,2026-06-07 22:52:48
3,0.359534,88.3000,1.3375,0.0000,2026-06-07 22:52:57
4,0.210377,93.3700,0.4347,0.0000,2026-06-07 22:53:07
5,0.144469,95.7100,0.7579,50.0000,2026-06-07 22:53:18
6,1.163912,61.9000,100.0000,100.0000,2026-06-07 22:53:28
7,0.186961,94.2400,29.7370,0.0000,2026-06-07 22:53:38
8,0.107388,96.5200,32.9135,50.0000,2026-06-07 22:53:48
9,0.107187,96.7700,33.5711,50.0000,2026-06-07 22:53:57
10,0.089324,97.3400,75.9362,100.0000,2026-06-07 22:54:07
11,0.088135,97.1900,70.6977,0.0000,2026-06-07 22:54:17
12,0.089119,97.3500,94.3714,100.0000,2026-06-07 22:54:27
13,0.077128,97.6000,94.0593,50.0000,2026-06-07 22:54:36
14,0.067381,97.8400,89.3558,50.0000,2026-06-07 22:54:46
15,0.067544,97.8600,80.3165,0.0000,2026-06-07 22:54:57
16,0.063828,97.9100,83.1810,100.0000,2026-06-07 22:55:07
17,0.057209,98.2400,97.5925,100.0000,2026-06-07 22:55:18
18,0.061021,98.1100,88.0740,0.0000,2026-06-07 22:55:29
19,0.060867,97.9900,90.3700,0.0000,2026-06-07 22:55:38
20,0.058431,98.0900,86.9148,,2026-06-07 22:55:47
21,0.063920,98.0100,99.1083,100.0000,2026-06-07 22:55:57
22,0.057767,98.1900,98.9523,50.0000,2026-06-07 22:56:07
23,0.052872,98.2900,99.3758,66.6667,2026-06-07 22:56:18
24,0.050134,98.3700,97.3696,0.0000,2026-06-07 22:56:28
25,0.046195,98.4800,98.5733,100.0000,2026-06-07 22:56:38
26,0.046761,98.4800,98.5510,50.0000,2026-06-07 22:56:48
27,0.043381,98.6500,98.9412,100.0000,2026-06-07 22:56:58
28,0.056275,98.1700,99.5096,75.0000,2026-06-07 22:57:07
29,0.052612,98.3500,99.9666,100.0000,2026-06-07 22:57:16
30,0.042362,98.5500,99.8328,50.0000,2026-06-07 22:57:26
