round,loss,accuracy,asr,evasion_rate,timestamp
1,1.462119,62.3300,,,2026-06-07 20:38:22
2,0.486885,85.0600,,,2026-06-07 20:38:31
3,0.271468,91.9400,,,2026-06-07 20:38:38
4,0.176352,94.9400,,,2026-06-07 20:38:46
5,0.130973,95.9500,,,2026-06-07 20:38:54
6,0.103838,96.8600,,,2026-06-07 20:39:01
7,0.089069,97.2700,,,2026-06-07 20:39:09
8,0.090321,97.2200,,,2026-06-07 20:39:16
9,0.079115,97.3700,,,2026-06-07 20:39:23
10,0.077627,97.5200,,,2026-06-07 20:39:30
11,0.066212,97.9500,,,2026-06-07 20:39:38
12,0.066045,97.7900,,,2026-06-07 20:39:46
13,0.061427,98.0200,,,2026-06-07 20:39:53
14,0.057799,98.0100,,,2026-06-07 20:40:01
15,0.056089,98.1400,,,2026-06-07 20:40:07
16,0.053202,98.2900,,,2026-06-07 20:40:15
17,0.048045,98.4400,,,2026-06-07 20:40:23
18,0.049092,98.2800,,,2026-06-07 20:40:30
19,0.052365,98.3100,,,2026-06-07 20:40:38
20,0.049761,98.4300,,,2026-06-07 20:40:46
21,0.044763,98.5800,,,2026-06-07 20:40:53
22,0.042333,98.6300,,,2026-06-07 20:41:00
23,0.045634,98.3600,,,2026-06-07 20:41:08
24,0.042805,98.5100,,,2026-06-07 20:41:15
25,0.038894,98.6600,,,2026-06-07 20:41:23
26,0.040612,98.5900,,,2026-06-07 20:41:30
27,0.040903,98.6400,,,2026-06-07 20:41:36
28,0.041968,98.4600,,,2026-06-07 20:41:43
29,0.042470,98.5800,,,2026-06-07 20:41:51
30,0.038308,98.6900,,,2026-06-07 20:41:58
