round,loss,accuracy,asr,evasion_rate,timestamp
1,2.300760,9.8000,0.0000,100.0000,2026-06-06 23:52:18
2,2.298946,9.8000,0.0000,100.0000,2026-06-06 23:52:27
3,2.297007,9.8100,0.0000,100.0000,2026-06-06 23:52:36
4,2.294924,9.8100,0.0000,100.0000,2026-06-06 23:52:45
5,2.292195,9.8200,0.0000,100.0000,2026-06-06 23:52:56
6,2.289209,9.8400,0.0000,100.0000,2026-06-06 23:53:05
7,2.286062,9.9800,0.0000,100.0000,2026-06-06 23:53:15
8,2.282221,10.0800,0.0000,100.0000,2026-06-06 23:53:27
9,2.277949,10.3500,0.0000,100.0000,2026-06-06 23:53:35
10,2.273134,10.7600,0.0000,100.0000,2026-06-06 23:53:46
11,2.268071,11.7300,0.0000,100.0000,2026-06-06 23:53:56
12,2.261628,12.7400,0.0000,100.0000,2026-06-06 23:54:05
13,2.253656,14.1700,0.0000,100.0000,2026-06-06 23:54:14
14,2.245130,17.1400,0.0223,100.0000,2026-06-06 23:54:24
15,2.234999,21.7900,0.1115,100.0000,2026-06-06 23:54:34
16,2.223961,28.4500,0.4458,100.0000,2026-06-06 23:54:44
17,2.211506,37.4600,1.0700,100.0000,2026-06-06 23:54:55
18,2.196440,45.8500,1.5604,100.0000,2026-06-06 23:55:05
19,2.178554,52.0700,1.9171,100.0000,2026-06-06 23:55:14
20,2.157958,56.2200,2.3183,,2026-06-06 23:55:23
