round,loss,accuracy,asr,evasion_rate,timestamp
1,2.300178,9.5800,,100.0000,2026-06-08 00:16:57
2,2.290367,10.1200,,0.0000,2026-06-08 00:17:05
3,2.267101,18.6300,,0.0000,2026-06-08 00:17:14
4,2.209626,45.2700,,0.0000,2026-06-08 00:17:22
5,2.032174,74.5100,,0.0000,2026-06-08 00:17:31
6,1.289648,82.2300,,0.0000,2026-06-08 00:17:40
7,0.577831,91.5000,,0.0000,2026-06-08 00:17:48
8,0.317882,92.2100,,0.0000,2026-06-08 00:17:57
9,0.231897,93.3800,,0.0000,2026-06-08 00:18:04
10,0.193125,94.3900,,0.0000,2026-06-08 00:18:12
11,0.166282,95.2800,,0.0000,2026-06-08 00:18:22
12,0.152443,95.4600,,0.0000,2026-06-08 00:18:30
13,0.144840,95.6500,,0.0000,2026-06-08 00:18:39
14,0.133464,95.8900,,0.0000,2026-06-08 00:18:48
15,0.119740,96.4100,,0.0000,2026-06-08 00:18:56
16,0.111211,96.6400,,0.0000,2026-06-08 00:19:05
17,0.107190,96.8600,,0.0000,2026-06-08 00:19:13
18,0.099532,97.0400,,0.0000,2026-06-08 00:19:22
19,0.107009,96.5400,,0.0000,2026-06-08 00:19:31
20,0.101460,96.6700,,0.0000,2026-06-08 00:19:40
21,0.086906,97.1900,,0.0000,2026-06-08 00:19:48
22,0.083999,97.3100,,0.0000,2026-06-08 00:19:56
23,0.084340,97.2400,,0.0000,2026-06-08 00:20:05
24,0.080282,97.2800,,0.0000,2026-06-08 00:20:14
25,0.081523,97.2500,,0.0000,2026-06-08 00:20:22
26,0.076314,97.4900,,0.0000,2026-06-08 00:20:30
27,0.078025,97.3500,,0.0000,2026-06-08 00:20:38
28,0.077284,97.3600,,0.0000,2026-06-08 00:20:46
29,0.074127,97.4800,,0.0000,2026-06-08 00:20:55
30,0.070140,97.6400,,0.0000,2026-06-08 00:21:03
