round,loss,accuracy,asr,evasion_rate,timestamp
1,2.300161,9.5800,,0.0000,2026-06-08 00:21:15
2,2.290291,10.0500,,0.0000,2026-06-08 00:21:24
3,2.267080,18.8300,,0.0000,2026-06-08 00:21:32
4,2.209768,45.2900,,0.0000,2026-06-08 00:21:41
5,2.031932,74.7900,,0.0000,2026-06-08 00:21:50
6,1.293242,81.9000,,0.0000,2026-06-08 00:21:59
7,0.580316,91.2300,,0.0000,2026-06-08 00:22:08
8,0.319163,92.2300,,0.0000,2026-06-08 00:22:16
9,0.230671,93.3500,,0.0000,2026-06-08 00:22:24
10,0.193054,94.3700,,0.0000,2026-06-08 00:22:32
11,0.166073,95.2700,,0.0000,2026-06-08 00:22:42
12,0.152363,95.4200,,0.0000,2026-06-08 00:22:51
13,0.144560,95.6700,,0.0000,2026-06-08 00:22:59
14,0.132571,95.9300,,0.0000,2026-06-08 00:23:08
15,0.119887,96.4100,,0.0000,2026-06-08 00:23:15
16,0.111178,96.7000,,0.0000,2026-06-08 00:23:25
17,0.107073,96.8200,,0.0000,2026-06-08 00:23:33
18,0.099140,96.9700,,0.0000,2026-06-08 00:23:42
19,0.107533,96.4600,,0.0000,2026-06-08 00:23:51
20,0.101023,96.6800,,0.0000,2026-06-08 00:24:00
21,0.087001,97.1800,,0.0000,2026-06-08 00:24:08
22,0.084103,97.2700,,0.0000,2026-06-08 00:24:16
23,0.084076,97.2700,,0.0000,2026-06-08 00:24:25
24,0.079901,97.3600,,0.0000,2026-06-08 00:24:34
25,0.080518,97.2700,,0.0000,2026-06-08 00:24:42
26,0.076275,97.4300,,0.0000,2026-06-08 00:24:50
27,0.078674,97.3500,,0.0000,2026-06-08 00:24:57
28,0.077066,97.3500,,0.0000,2026-06-08 00:25:05
29,0.073437,97.4300,,0.0000,2026-06-08 00:25:14
30,0.070056,97.6600,,0.0000,2026-06-08 00:25:22
