round,loss,accuracy,asr,evasion_rate,timestamp
1,2.291704,9.8200,0.0000,100.0000,2026-06-07 22:39:03
2,2.269237,11.9000,6.0299,100.0000,2026-06-07 22:39:12
3,2.205222,31.2100,51.2929,100.0000,2026-06-07 22:39:22
4,2.006089,60.2600,21.0432,100.0000,2026-06-07 22:39:31
5,1.367893,80.9100,3.7338,100.0000,2026-06-07 22:39:42
6,0.749277,86.1200,6.4423,100.0000,2026-06-07 22:39:52
7,0.427832,90.3100,1.7499,100.0000,2026-06-07 22:40:03
8,0.271596,93.5400,1.0366,50.0000,2026-06-07 22:40:14
9,0.237951,93.4900,0.8248,50.0000,2026-06-07 22:40:23
10,0.197237,94.5700,0.6576,66.6667,2026-06-07 22:40:33
11,0.178427,94.7300,0.4904,50.0000,2026-06-07 22:40:43
12,0.171196,94.8500,0.5239,33.3333,2026-06-07 22:40:53
13,0.165586,94.9600,0.6019,50.0000,2026-06-07 22:41:02
14,0.148066,95.3700,0.5573,100.0000,2026-06-07 22:41:12
15,0.140069,95.7000,0.5461,0.0000,2026-06-07 22:41:23
16,0.128319,95.9800,0.4570,100.0000,2026-06-07 22:41:33
17,0.117140,96.3600,0.4681,0.0000,2026-06-07 22:41:45
18,0.110012,96.5600,0.4904,0.0000,2026-06-07 22:41:56
19,0.104140,96.7500,0.3790,0.0000,2026-06-07 22:42:05
20,0.099404,96.8900,0.4793,,2026-06-07 22:42:14
21,0.095968,96.9900,0.4793,0.0000,2026-06-07 22:42:24
22,0.089938,97.1700,0.4570,0.0000,2026-06-07 22:42:35
23,0.089644,97.1700,0.4347,0.0000,2026-06-07 22:42:46
24,0.093413,97.0300,0.4458,0.0000,2026-06-07 22:42:57
25,0.085654,97.2400,0.4347,0.0000,2026-06-07 22:43:06
26,0.085702,97.2200,0.3455,0.0000,2026-06-07 22:43:16
27,0.082146,97.4300,0.4012,0.0000,2026-06-07 22:43:27
28,0.082069,97.4500,0.4681,0.0000,2026-06-07 22:43:36
29,0.081279,97.3300,0.3455,0.0000,2026-06-07 22:43:45
30,0.073436,97.6700,0.3678,0.0000,2026-06-07 22:43:55
