round,loss,accuracy,asr,evasion_rate,timestamp
1,2.292542,17.2700,,,2026-06-07 18:07:57
2,2.264047,26.0700,,,2026-06-07 18:08:03
3,2.188096,33.3800,,,2026-06-07 18:08:11
4,1.933015,68.6100,,,2026-06-07 18:08:19
5,1.120606,77.6000,,,2026-06-07 18:08:26
6,0.590566,86.1100,,,2026-06-07 18:08:33
7,0.356389,90.7400,,,2026-06-07 18:08:40
8,0.278528,92.5100,,,2026-06-07 18:08:49
9,0.226329,93.8000,,,2026-06-07 18:08:57
10,0.187993,94.7000,,,2026-06-07 18:09:04
11,0.166445,95.0900,,,2026-06-07 18:09:12
12,0.155859,95.3600,,,2026-06-07 18:09:19
13,0.142995,95.3500,,,2026-06-07 18:09:26
14,0.127516,95.8900,,,2026-06-07 18:09:34
15,0.119322,96.2300,,,2026-06-07 18:09:41
16,0.115711,96.3100,,,2026-06-07 18:09:49
17,0.106942,96.6300,,,2026-06-07 18:09:57
18,0.105886,96.6900,,,2026-06-07 18:10:04
19,0.098442,96.9000,,,2026-06-07 18:10:12
20,0.097779,96.8400,,,2026-06-07 18:10:20
21,0.090996,97.2400,,,2026-06-07 18:10:28
22,0.085583,97.3200,,,2026-06-07 18:10:37
23,0.087226,97.2300,,,2026-06-07 18:10:45
24,0.089929,97.0300,,,2026-06-07 18:10:51
25,0.081434,97.3700,,,2026-06-07 18:10:59
26,0.074557,97.5600,,,2026-06-07 18:11:06
27,0.076193,97.6100,,,2026-06-07 18:11:14
28,0.075863,97.5700,,,2026-06-07 18:11:21
29,0.068535,97.7800,,,2026-06-07 18:11:28
30,0.067777,97.8200,,,2026-06-07 18:11:36
