round,loss,accuracy,asr,evasion_rate,timestamp
1,3.045772,40.0000,32.5568,25.0000,2026-06-07 16:01:32
2,0.787956,73.8800,2.4632,25.0000,2026-06-07 16:01:40
3,0.373043,87.4200,8.9835,50.0000,2026-06-07 16:01:48
4,0.182165,94.2200,0.1672,100.0000,2026-06-07 16:01:57
5,0.136574,95.8400,2.8199,50.0000,2026-06-07 16:02:07
6,0.161868,95.0900,0.6465,25.0000,2026-06-07 16:02:16
7,0.218743,93.1000,1.1369,50.0000,2026-06-07 16:02:25
8,0.118262,96.1500,2.4521,50.0000,2026-06-07 16:02:35
9,0.185854,93.9800,0.8694,50.0000,2026-06-07 16:02:43
10,0.089783,96.8700,4.4249,33.3333,2026-06-07 16:02:52
11,0.121245,95.9700,2.1400,50.0000,2026-06-07 16:03:01
12,0.085535,97.2400,7.3451,33.3333,2026-06-07 16:03:10
13,0.077148,97.4600,11.0009,50.0000,2026-06-07 16:03:19
14,0.072506,97.6100,13.9099,50.0000,2026-06-07 16:03:28
15,0.121050,96.1900,18.7026,50.0000,2026-06-07 16:03:38
16,0.076636,97.5500,33.8832,100.0000,2026-06-07 16:03:47
17,0.122500,95.9800,57.3674,50.0000,2026-06-07 16:03:57
18,0.087138,97.1200,57.6906,100.0000,2026-06-07 16:04:07
19,0.063331,97.7800,86.8257,100.0000,2026-06-07 16:04:16
20,0.122165,95.9500,77.8199,,2026-06-07 16:04:24
21,0.052717,98.2200,87.9737,33.3333,2026-06-07 16:04:34
22,0.113861,96.3400,85.2764,25.0000,2026-06-07 16:04:43
23,0.091858,97.0400,95.0847,33.3333,2026-06-07 16:04:53
24,0.112796,96.6400,69.0593,50.0000,2026-06-07 16:05:03
25,0.066303,97.9900,99.3090,100.0000,2026-06-07 16:05:11
26,0.054236,98.3300,97.1801,50.0000,2026-06-07 16:05:21
27,0.041256,98.5800,99.1529,50.0000,2026-06-07 16:05:30
28,0.062830,97.8700,98.1721,25.0000,2026-06-07 16:05:38
29,0.066544,97.7200,98.9523,33.3333,2026-06-07 16:05:46
30,0.068834,97.7400,99.3090,50.0000,2026-06-07 16:05:56
