round,loss,accuracy,asr,evasion_rate,timestamp
1,2.899737,43.9700,,0.0000,2026-06-07 22:16:46
2,0.944447,77.2800,,0.0000,2026-06-07 22:16:54
3,1.074526,74.0600,,0.0000,2026-06-07 22:17:02
4,0.930157,82.3400,,0.0000,2026-06-07 22:17:10
5,0.647962,80.3400,,0.0000,2026-06-07 22:17:19
6,0.484110,85.0100,,0.0000,2026-06-07 22:17:27
7,0.630338,81.3300,,0.0000,2026-06-07 22:17:36
8,0.396002,87.4700,,0.0000,2026-06-07 22:17:45
9,0.533286,84.7000,,0.0000,2026-06-07 22:17:53
10,0.272827,91.8000,,0.0000,2026-06-07 22:18:01
11,0.283080,90.6600,,0.0000,2026-06-07 22:18:10
12,0.276844,91.1100,,0.0000,2026-06-07 22:18:19
13,0.274146,91.4800,,0.0000,2026-06-07 22:18:27
14,0.253133,92.2500,,0.0000,2026-06-07 22:18:35
15,0.296340,91.0400,,0.0000,2026-06-07 22:18:45
16,0.306338,90.6500,,0.0000,2026-06-07 22:18:54
17,0.301591,90.4800,,0.0000,2026-06-07 22:19:03
18,0.224505,92.7500,,0.0000,2026-06-07 22:19:12
19,0.202998,93.3800,,0.0000,2026-06-07 22:19:20
20,0.238522,92.8100,,,2026-06-07 22:19:28
21,0.260059,92.6500,,0.0000,2026-06-07 22:19:36
22,0.223617,93.8000,,0.0000,2026-06-07 22:19:45
23,0.235729,92.6100,,0.0000,2026-06-07 22:19:54
24,0.363452,89.3100,,0.0000,2026-06-07 22:20:04
25,0.329334,91.0100,,0.0000,2026-06-07 22:20:11
26,0.268194,92.4300,,0.0000,2026-06-07 22:20:20
27,0.210281,93.6700,,0.0000,2026-06-07 22:20:28
28,0.299199,91.8200,,0.0000,2026-06-07 22:20:35
29,0.213345,94.2500,,0.0000,2026-06-07 22:20:43
30,0.233487,93.9300,,0.0000,2026-06-07 22:20:52
