round,loss,accuracy,asr,evasion_rate,timestamp
1,3.020909,45.0400,0.0000,0.0000,2026-06-07 22:25:21
2,1.029460,71.2900,3.9456,0.0000,2026-06-07 22:25:30
3,0.903246,80.0600,1.1815,0.0000,2026-06-07 22:25:39
4,0.492886,84.8800,3.5555,0.0000,2026-06-07 22:25:48
5,0.391358,87.7100,1.5047,0.0000,2026-06-07 22:25:59
6,0.454041,85.6800,2.8199,0.0000,2026-06-07 22:26:09
7,0.585156,81.6300,0.5239,0.0000,2026-06-07 22:26:19
8,0.301114,90.3800,0.5796,0.0000,2026-06-07 22:26:29
9,0.288503,90.7900,0.8471,0.0000,2026-06-07 22:26:39
10,0.299373,90.7100,0.4124,0.0000,2026-06-07 22:26:49
11,0.320115,90.2300,0.8025,0.0000,2026-06-07 22:26:59
12,0.313686,90.4200,0.2229,0.0000,2026-06-07 22:27:08
13,0.253372,92.2500,0.6576,0.0000,2026-06-07 22:27:18
14,0.280245,91.0200,1.1815,0.0000,2026-06-07 22:27:27
15,0.290782,91.5300,0.2006,0.0000,2026-06-07 22:27:38
16,0.247511,92.5400,0.2564,0.0000,2026-06-07 22:27:48
17,0.504227,84.2400,0.2229,0.0000,2026-06-07 22:28:00
18,0.327632,89.0300,0.3121,0.0000,2026-06-07 22:28:10
19,0.234505,92.4800,0.9251,0.0000,2026-06-07 22:28:21
20,0.238800,92.3700,0.9362,,2026-06-07 22:28:30
21,0.217241,93.6100,0.2786,0.0000,2026-06-07 22:28:40
22,0.215178,93.5900,0.4681,0.0000,2026-06-07 22:28:50
23,0.398099,87.3700,0.1003,0.0000,2026-06-07 22:29:01
24,0.333392,90.4100,0.0446,0.0000,2026-06-07 22:29:12
25,0.190375,94.3500,0.8917,0.0000,2026-06-07 22:29:21
26,0.229726,93.4300,0.7356,0.0000,2026-06-07 22:29:31
27,0.316072,91.3700,0.1560,0.0000,2026-06-07 22:29:41
28,0.200107,94.2400,0.5684,0.0000,2026-06-07 22:29:50
29,0.253522,93.1100,0.6353,0.0000,2026-06-07 22:29:59
30,0.270898,92.8300,0.5684,0.0000,2026-06-07 22:30:09
