round,loss,accuracy,asr,evasion_rate,timestamp
1,1.520638,48.4400,39.4561,100.0000,2026-06-07 19:29:05
2,0.543856,83.8000,3.7896,100.0000,2026-06-07 19:29:15
3,0.313783,90.0100,4.7147,100.0000,2026-06-07 19:29:24
4,0.145606,96.0400,1.1146,100.0000,2026-06-07 19:29:34
5,0.122535,96.3800,0.8582,100.0000,2026-06-07 19:29:43
6,0.101986,96.9600,1.1034,100.0000,2026-06-07 19:29:52
7,0.080918,97.5700,0.7579,100.0000,2026-06-07 19:30:02
8,0.083319,97.2500,0.5016,100.0000,2026-06-07 19:30:11
9,0.078801,97.5900,0.8582,100.0000,2026-06-07 19:30:19
10,0.065368,98.0000,1.1592,100.0000,2026-06-07 19:30:28
11,0.065288,97.9400,0.8694,100.0000,2026-06-07 19:30:39
12,0.066773,97.8900,2.0062,100.0000,2026-06-07 19:30:48
13,0.067064,97.7500,3.2211,100.0000,2026-06-07 19:30:57
14,0.056045,98.1300,1.7945,100.0000,2026-06-07 19:31:07
15,0.053597,98.1800,2.2960,100.0000,2026-06-07 19:31:15
16,0.055095,98.1100,5.2608,100.0000,2026-06-07 19:31:25
17,0.045877,98.5000,2.5747,100.0000,2026-06-07 19:31:34
18,0.048275,98.2600,5.5172,100.0000,2026-06-07 19:31:44
19,0.053102,98.2000,7.8689,100.0000,2026-06-07 19:31:53
20,0.049714,98.4800,11.0009,100.0000,2026-06-07 19:32:03
21,0.043407,98.6100,6.4646,100.0000,2026-06-07 19:32:12
22,0.041010,98.6700,9.8640,100.0000,2026-06-07 19:32:21
23,0.043065,98.5600,16.3955,100.0000,2026-06-07 19:32:31
24,0.046741,98.4500,28.3883,100.0000,2026-06-07 19:32:40
25,0.043205,98.5200,19.0593,100.0000,2026-06-07 19:32:49
26,0.040364,98.5900,16.2171,100.0000,2026-06-07 19:32:58
27,0.043583,98.5200,16.4846,100.0000,2026-06-07 19:33:07
28,0.051563,98.4000,22.8266,100.0000,2026-06-07 19:33:15
29,0.050016,98.3500,44.2153,100.0000,2026-06-07 19:33:25
30,0.035549,98.7900,41.8747,100.0000,2026-06-07 19:33:34
