round,loss,accuracy,asr,evasion_rate,timestamp
1,2.280605,22.8800,,100.0000,2026-06-07 22:03:10
2,2.220527,12.1500,,100.0000,2026-06-07 22:03:17
3,0.718342,82.8700,,100.0000,2026-06-07 22:03:24
4,0.362583,90.6000,,100.0000,2026-06-07 22:03:32
5,0.449239,92.1600,,100.0000,2026-06-07 22:03:42
6,0.659062,92.4900,,100.0000,2026-06-07 22:03:51
7,0.278173,94.1200,,100.0000,2026-06-07 22:04:00
8,0.216322,95.7300,,100.0000,2026-06-07 22:04:09
9,0.226064,95.0100,,100.0000,2026-06-07 22:04:16
10,0.277483,95.3600,,100.0000,2026-06-07 22:04:25
11,0.221408,95.2600,,100.0000,2026-06-07 22:04:33
12,0.288914,94.5300,,100.0000,2026-06-07 22:04:41
13,0.229475,95.8400,,100.0000,2026-06-07 22:04:49
14,0.198346,96.0500,,100.0000,2026-06-07 22:04:57
15,0.152291,96.4800,,100.0000,2026-06-07 22:05:06
16,0.143451,96.5000,,100.0000,2026-06-07 22:05:15
17,0.109450,97.2200,,100.0000,2026-06-07 22:05:25
18,0.109923,97.0000,,100.0000,2026-06-07 22:05:33
19,0.086283,97.4600,,100.0000,2026-06-07 22:05:41
20,0.085416,97.4100,,,2026-06-07 22:05:49
21,0.147364,96.7800,,100.0000,2026-06-07 22:05:57
22,0.174934,96.6300,,100.0000,2026-06-07 22:06:05
23,0.168016,96.9500,,100.0000,2026-06-07 22:06:15
24,0.159129,96.0500,,100.0000,2026-06-07 22:06:24
25,0.088988,97.4000,,100.0000,2026-06-07 22:06:32
26,0.148155,96.7300,,100.0000,2026-06-07 22:06:40
27,0.131702,97.0100,,100.0000,2026-06-07 22:06:49
28,0.331384,93.9400,,100.0000,2026-06-07 22:06:56
29,0.185958,95.6000,,100.0000,2026-06-07 22:07:03
30,0.136186,96.8200,,100.0000,2026-06-07 22:07:12
