round,loss,accuracy,asr,evasion_rate,timestamp
1,43.113910,11.3500,,100.0000,2026-06-07 22:07:23
2,71817.237113,11.3500,,100.0000,2026-06-07 22:07:31
3,14719.817944,11.3500,,100.0000,2026-06-07 22:07:40
4,9097.690313,8.8200,,100.0000,2026-06-07 22:07:48
5,303283.416550,11.3500,,100.0000,2026-06-07 22:07:57
6,2321042.637600,11.3500,,100.0000,2026-06-07 22:08:06
7,674790.405000,9.9200,,100.0000,2026-06-07 22:08:15
8,790859.558100,11.3500,,100.0000,2026-06-07 22:08:24
9,2123782.030800,9.7400,,100.0000,2026-06-07 22:08:31
10,2545505.731200,9.7400,,100.0000,2026-06-07 22:08:40
11,3238205.878400,9.7400,,100.0000,2026-06-07 22:08:49
12,29784856.870400,9.7400,,100.0000,2026-06-07 22:08:57
13,496216739.737600,9.7400,,100.0000,2026-06-07 22:09:05
14,335113783.603200,9.7400,,100.0000,2026-06-07 22:09:14
15,484129693.798400,9.7400,,100.0000,2026-06-07 22:09:23
16,7933898688.102400,9.7400,,100.0000,2026-06-07 22:09:33
17,32518484.518400,9.7400,,100.0000,2026-06-07 22:09:42
18,25360111.017600,9.7400,,100.0000,2026-06-07 22:09:51
19,19335022.051200,9.7400,,100.0000,2026-06-07 22:09:59
20,10082031.748800,9.7400,,,2026-06-07 22:10:07
21,85019415.859200,9.7400,,100.0000,2026-06-07 22:10:16
22,1521344920.576000,9.7400,,100.0000,2026-06-07 22:10:24
23,677588812.390400,9.7400,,100.0000,2026-06-07 22:10:34
24,2413634903.244800,9.7400,,100.0000,2026-06-07 22:10:43
25,292635832.883200,9.7400,,100.0000,2026-06-07 22:10:51
26,2066132447.641600,9.7400,,100.0000,2026-06-07 22:11:00
27,755140997.836800,9.7400,,100.0000,2026-06-07 22:11:08
28,53981308878.848000,9.7400,,100.0000,2026-06-07 22:11:15
29,5087100370.124800,9.7400,,100.0000,2026-06-07 22:11:23
30,4438309267.046400,9.7400,,100.0000,2026-06-07 22:11:31
