round,loss,accuracy,asr,evasion_rate,timestamp
1,5.551920,11.7600,98.8297,100.0000,2026-06-07 23:58:39
2,0.772628,69.9200,0.9697,100.0000,2026-06-07 23:58:49
3,1.141487,71.2300,88.3304,100.0000,2026-06-07 23:58:58
4,0.459299,84.9900,64.6790,100.0000,2026-06-07 23:59:09
5,0.349201,88.9200,99.2309,100.0000,2026-06-07 23:59:19
6,0.198046,93.4800,96.2216,100.0000,2026-06-07 23:59:29
7,0.159753,94.9200,98.9634,100.0000,2026-06-07 23:59:39
8,0.293523,90.1100,98.6068,100.0000,2026-06-07 23:59:48
9,0.177888,94.6900,97.0129,100.0000,2026-06-07 23:59:57
10,0.255837,92.0900,99.8105,100.0000,2026-06-08 00:00:07
11,0.134515,95.7600,99.5542,100.0000,2026-06-08 00:00:18
12,0.092798,97.2900,99.4539,100.0000,2026-06-08 00:00:28
13,0.074262,97.5900,99.6099,100.0000,2026-06-08 00:00:38
14,0.117682,96.3400,99.3758,100.0000,2026-06-08 00:00:48
15,0.080626,97.2900,99.8551,100.0000,2026-06-08 00:00:57
16,0.125698,96.0000,99.3647,100.0000,2026-06-08 00:01:07
17,0.479014,85.6200,99.7325,100.0000,2026-06-08 00:01:17
18,0.754493,81.7000,97.6817,100.0000,2026-06-08 00:01:27
19,0.104020,96.7000,99.7102,100.0000,2026-06-08 00:01:36
20,0.099528,96.7700,99.8997,100.0000,2026-06-08 00:01:46
21,0.228970,93.0400,91.8747,100.0000,2026-06-08 00:01:55
22,0.086694,97.2100,99.8440,100.0000,2026-06-08 00:02:05
23,0.055200,98.2000,99.8551,100.0000,2026-06-08 00:02:15
24,0.070167,97.7100,99.9108,100.0000,2026-06-08 00:02:26
25,0.085828,97.2900,99.7882,100.0000,2026-06-08 00:02:35
26,0.090767,97.1900,99.9443,100.0000,2026-06-08 00:02:44
27,0.217417,93.6200,99.2532,100.0000,2026-06-08 00:02:53
28,0.359962,89.2200,99.9777,100.0000,2026-06-08 00:03:02
29,0.063629,97.9600,97.9157,100.0000,2026-06-08 00:03:12
30,0.066993,97.9400,99.9331,100.0000,2026-06-08 00:03:22
