round,loss,accuracy,asr,evasion_rate,timestamp
1,0.929392,82.1100,,,2026-06-07 08:13:27
2,0.261569,93.4100,,,2026-06-07 08:13:34
3,0.170180,94.8900,,,2026-06-07 08:13:41
4,0.130190,96.1100,,,2026-06-07 08:13:49
5,0.100142,96.8400,,,2026-06-07 08:13:58
6,0.091277,97.2800,,,2026-06-07 08:14:06
7,0.086558,97.1800,,,2026-06-07 08:14:14
8,0.078396,97.5100,,,2026-06-07 08:14:22
9,0.071032,97.7000,,,2026-06-07 08:14:30
10,0.061318,98.2000,,,2026-06-07 08:14:38
11,0.067310,97.9300,,,2026-06-07 08:14:46
12,0.055960,98.3000,,,2026-06-07 08:14:53
13,0.055760,98.2700,,,2026-06-07 08:15:01
14,0.051035,98.4100,,,2026-06-07 08:15:09
15,0.050311,98.4400,,,2026-06-07 08:15:18
16,0.046068,98.4500,,,2026-06-07 08:15:26
17,0.046313,98.5000,,,2026-06-07 08:15:36
18,0.041405,98.7100,,,2026-06-07 08:15:44
19,0.042301,98.6500,,,2026-06-07 08:15:52
20,0.042862,98.6500,,,2026-06-07 08:15:59
