dataset,aggregation,attack,partition,alpha,malicious,tau,seed,attack_until,accuracy,asr,evasion,asr_at_stop,retention,rounds
mnist,flame,geotox_adaptive,noniid,0.5,4,0.0,42,10,98.084,0.41908,75.0,0.6019,62.967270310682835,20
mnist,flame,geotox,iid,,4,0.5,42,0,98.662,0.37226,100.0,,,20
mnist,flame,geotox,noniid,0.1,4,0.5,42,0,96.53399999999999,3.9590000000000005,100.0,,,20
mnist,flame,geotox,noniid,0.3,4,0.5,42,0,97.76599999999999,0.53276,100.0,,,20
mnist,flame,geotox,noniid,0.5,4,0.0,42,0,97.792,0.42354,25.0,,,20
mnist,flame,geotox,noniid,0.5,4,0.3,42,0,98.034,0.49266,100.0,,,20
mnist,flame,geotox,noniid,0.5,4,0.5,42,0,98.064,0.69106,100.0,,,20
mnist,flame,geotox,noniid,0.5,4,0.6,42,0,98.114,0.5952,100.0,,,20
mnist,flame,geotox,noniid,0.5,4,0.9,42,0,98.292,0.31876000000000004,100.0,,,20
mnist,flame,geotox,noniid,0.5,4,0.0,42,10,98.038,0.26972,100.0,0.4124,78.37051406401552,20
mnist,flame,geotox,noniid,1.0,4,0.5,42,0,98.47999999999999,0.47704,100.0,,,20
mnist,flame,none,noniid,0.5,0,,42,0,98.21799999999999,,,,,20
mnist,fltrust,geotox,noniid,0.5,4,0.0,42,0,30.534000000000002,0.21622,100.0,,,20
mnist,fltrust,geotox,noniid,0.5,4,0.3,42,0,27.772000000000002,0.96076,100.0,,,20
mnist,fltrust,geotox,noniid,0.5,4,0.6,42,0,33.144,2.56354,100.0,,,20
mnist,fltrust,geotox,noniid,0.5,4,0.9,42,0,44.010000000000005,1.46232,100.0,,,20
mnist,fltrust,none,noniid,0.5,0,,42,0,38.78,,,,,20
mnist,krum,geotox,noniid,0.5,4,0.0,42,0,85.792,0.40124000000000004,0.0,,,20
mnist,krum,geotox,noniid,0.5,4,0.3,42,0,91.702,0.45474,0.0,,,20
mnist,krum,geotox,noniid,0.5,4,0.6,42,0,94.45599999999999,1.37314,12.5,,,20
mnist,krum,geotox,noniid,0.5,4,0.9,42,0,97.176,1.02542,87.5,,,20
mnist,krum,none,noniid,0.5,0,,42,0,89.66600000000001,,,,,20
