round,loss,accuracy,asr,evasion_rate,timestamp
1,1.064386,84.0200,0.2229,0.0000,2026-06-07 00:30:33
2,0.466049,85.1400,0.6353,0.0000,2026-06-07 00:30:42
3,0.313952,89.8200,0.6799,0.0000,2026-06-07 00:30:51
4,0.186842,94.2200,0.3009,0.0000,2026-06-07 00:31:00
5,0.153231,95.0200,0.4012,0.0000,2026-06-07 00:31:10
6,0.914977,51.9100,63.6424,100.0000,2026-06-07 00:31:20
7,0.186892,93.8600,0.1560,0.0000,2026-06-07 00:31:29
8,0.109827,96.6700,0.5016,0.0000,2026-06-07 00:31:39
9,0.117960,96.2900,0.3678,100.0000,2026-06-07 00:31:48
10,0.100212,96.8800,0.6019,100.0000,2026-06-07 00:31:58
11,0.094789,97.0800,0.4904,100.0000,2026-06-07 00:32:07
12,0.087200,97.3400,0.4570,66.6667,2026-06-07 00:32:16
13,0.076726,97.5800,0.9251,100.0000,2026-06-07 00:32:25
14,0.065913,97.8700,0.4793,100.0000,2026-06-07 00:32:35
15,0.073171,97.6000,0.4347,0.0000,2026-06-07 00:32:45
16,0.064822,97.8900,0.3455,100.0000,2026-06-07 00:32:55
17,0.057312,98.1700,0.5684,100.0000,2026-06-07 00:33:06
18,0.064041,97.8200,0.3790,0.0000,2026-06-07 00:33:16
19,0.055773,98.1800,0.4235,100.0000,2026-06-07 00:33:25
20,0.054182,98.3600,0.3790,,2026-06-07 00:33:34
