round,loss,accuracy,asr,evasion_rate,timestamp
1,0.410847,88.6800,1.5493,0.0000,2026-06-07 00:11:19
2,0.187930,94.1400,0.8805,0.0000,2026-06-07 00:11:28
3,0.127029,95.9200,0.3901,0.0000,2026-06-07 00:11:37
4,0.109940,96.4500,0.4458,100.0000,2026-06-07 00:11:46
5,0.097796,96.9400,0.4681,100.0000,2026-06-07 00:11:55
6,0.098556,96.9500,1.1592,100.0000,2026-06-07 00:12:05
7,0.073287,97.7100,0.2675,100.0000,2026-06-07 00:12:14
8,0.071512,97.8000,0.3344,100.0000,2026-06-07 00:12:23
9,0.063800,97.9300,0.4235,100.0000,2026-06-07 00:12:33
10,0.068959,97.8400,0.3455,100.0000,2026-06-07 00:12:42
11,0.055900,98.2900,0.5350,100.0000,2026-06-07 00:12:51
12,0.052697,98.3400,0.4458,100.0000,2026-06-07 00:13:00
13,0.049908,98.5100,0.4124,100.0000,2026-06-07 00:13:10
14,0.044763,98.6700,0.3678,100.0000,2026-06-07 00:13:19
15,0.044324,98.6300,0.5907,100.0000,2026-06-07 00:13:28
16,0.042242,98.6300,0.3790,100.0000,2026-06-07 00:13:37
17,0.044118,98.6400,0.5684,100.0000,2026-06-07 00:13:46
18,0.040785,98.5900,0.2898,100.0000,2026-06-07 00:13:55
19,0.038075,98.7200,0.3232,100.0000,2026-06-07 00:14:04
20,0.035981,98.7300,0.3009,,2026-06-07 00:14:13
