round,loss,accuracy,asr,evasion_rate,timestamp
1,1.722947,24.8000,81.7321,100.0000,2026-06-07 00:04:48
2,0.522107,82.2400,0.0669,100.0000,2026-06-07 00:04:57
3,0.293929,91.0100,0.9362,100.0000,2026-06-07 00:05:06
4,0.210081,93.4100,0.4012,100.0000,2026-06-07 00:05:15
5,0.149600,95.4500,0.5684,100.0000,2026-06-07 00:05:26
6,0.137516,96.1000,1.5158,100.0000,2026-06-07 00:05:35
7,0.141669,95.5000,0.4235,100.0000,2026-06-07 00:05:45
8,0.089597,97.1100,0.4012,100.0000,2026-06-07 00:05:55
9,0.114370,96.2900,0.3455,100.0000,2026-06-07 00:06:04
10,0.083091,97.2900,0.5239,100.0000,2026-06-07 00:06:14
11,0.093245,96.9200,0.3009,100.0000,2026-06-07 00:06:24
12,0.097416,96.9400,0.7133,100.0000,2026-06-07 00:06:33
13,0.070969,97.6800,0.6799,100.0000,2026-06-07 00:06:42
14,0.069467,97.9100,0.5127,100.0000,2026-06-07 00:06:51
15,0.070417,97.7200,0.4347,100.0000,2026-06-07 00:07:02
16,0.060883,97.9700,0.4235,100.0000,2026-06-07 00:07:12
17,0.054052,98.2900,0.7245,100.0000,2026-06-07 00:07:23
18,0.060276,98.0200,0.3344,100.0000,2026-06-07 00:07:34
19,0.059867,98.1600,0.8917,100.0000,2026-06-07 00:07:43
20,0.055757,98.1300,0.6019,,2026-06-07 00:07:52
