round,loss,accuracy,asr,evasion_rate,timestamp
1,1.061231,83.8800,0.1895,0.0000,2026-06-07 00:27:21
2,0.475254,84.4600,0.4235,0.0000,2026-06-07 00:27:30
3,0.304806,90.2300,0.7356,0.0000,2026-06-07 00:27:38
4,0.205682,93.3800,0.3455,0.0000,2026-06-07 00:27:47
5,0.151651,95.2300,0.4570,0.0000,2026-06-07 00:27:57
6,0.161668,95.5800,1.1815,100.0000,2026-06-07 00:28:07
7,0.142623,95.4100,0.3344,0.0000,2026-06-07 00:28:17
8,0.098447,96.9400,0.3455,0.0000,2026-06-07 00:28:26
9,0.113775,96.2700,0.3009,50.0000,2026-06-07 00:28:35
10,0.090914,97.2400,0.4124,100.0000,2026-06-07 00:28:45
11,0.099878,96.8000,0.1226,100.0000,2026-06-07 00:28:54
12,0.079896,97.4900,0.3232,100.0000,2026-06-07 00:29:03
13,0.072264,97.7800,0.3678,100.0000,2026-06-07 00:29:12
14,0.064276,98.0100,0.3232,100.0000,2026-06-07 00:29:22
15,0.074304,97.7200,0.2006,50.0000,2026-06-07 00:29:32
16,0.065572,97.9300,0.2452,100.0000,2026-06-07 00:29:42
17,0.060599,98.1300,0.3790,100.0000,2026-06-07 00:29:52
18,0.064908,98.0100,0.1783,100.0000,2026-06-07 00:30:02
19,0.060979,98.0400,0.2229,100.0000,2026-06-07 00:30:11
20,0.060477,98.0800,0.3232,,2026-06-07 00:30:21
