round,loss,accuracy,asr,evasion_rate,timestamp
1,1.271357,75.2700,,,2026-06-06 23:55:34
2,0.383912,90.0700,,,2026-06-06 23:55:42
3,0.263576,91.9900,,,2026-06-06 23:55:49
4,0.182002,94.6700,,,2026-06-06 23:55:57
5,0.147038,95.4700,,,2026-06-06 23:56:06
6,0.109772,96.7600,,,2026-06-06 23:56:14
7,0.114841,96.2800,,,2026-06-06 23:56:22
8,0.087414,97.2100,,,2026-06-06 23:56:31
9,0.085537,97.2800,,,2026-06-06 23:56:38
10,0.079635,97.5200,,,2026-06-06 23:56:47
11,0.078475,97.4400,,,2026-06-06 23:56:55
12,0.081089,97.3900,,,2026-06-06 23:57:02
13,0.067896,97.9400,,,2026-06-06 23:57:10
14,0.061375,97.9800,,,2026-06-06 23:57:18
15,0.059230,98.0000,,,2026-06-06 23:57:27
16,0.057719,98.1200,,,2026-06-06 23:57:35
17,0.053934,98.2700,,,2026-06-06 23:57:45
18,0.051668,98.2500,,,2026-06-06 23:57:53
19,0.052975,98.2400,,,2026-06-06 23:58:01
20,0.054413,98.2100,,,2026-06-06 23:58:09
