round,loss,accuracy,asr,evasion_rate,timestamp
1,2.301101,9.8000,0.0000,100.0000,2026-06-06 23:45:46
2,2.299756,9.8000,0.0000,100.0000,2026-06-06 23:45:55
3,2.298170,9.8000,0.0000,100.0000,2026-06-06 23:46:04
4,2.296408,9.8100,0.0000,100.0000,2026-06-06 23:46:13
5,2.294209,9.8100,0.0000,100.0000,2026-06-06 23:46:23
6,2.292060,9.8200,0.0000,100.0000,2026-06-06 23:46:33
7,2.289610,9.8600,0.0000,100.0000,2026-06-06 23:46:43
8,2.286692,9.9000,0.0000,100.0000,2026-06-06 23:46:53
9,2.283583,10.0400,0.0000,100.0000,2026-06-06 23:47:02
10,2.280299,10.1500,0.0000,100.0000,2026-06-06 23:47:12
11,2.276718,10.5600,0.0000,100.0000,2026-06-06 23:47:22
12,2.272403,10.9000,0.0000,100.0000,2026-06-06 23:47:31
13,2.266992,11.5800,0.0000,100.0000,2026-06-06 23:47:40
14,2.261309,12.8300,0.0000,100.0000,2026-06-06 23:47:50
15,2.254673,14.0100,0.0000,100.0000,2026-06-06 23:48:00
16,2.247070,15.6200,0.0334,100.0000,2026-06-06 23:48:11
17,2.239151,19.1400,0.1560,100.0000,2026-06-06 23:48:22
18,2.229154,26.2900,0.6353,100.0000,2026-06-06 23:48:32
19,2.217962,34.3100,1.5716,100.0000,2026-06-06 23:48:41
20,2.204368,43.5000,2.4075,,2026-06-06 23:48:50
