round,loss,accuracy,asr,evasion_rate,timestamp
1,2.300728,9.8000,,,2026-06-06 23:39:37
2,2.299257,9.8000,,,2026-06-06 23:39:44
3,2.297380,9.8100,,,2026-06-06 23:39:52
4,2.295551,9.8100,,,2026-06-06 23:39:59
5,2.293446,9.8200,,,2026-06-06 23:40:08
6,2.290967,9.8800,,,2026-06-06 23:40:16
7,2.288410,9.9900,,,2026-06-06 23:40:25
8,2.285163,10.0500,,,2026-06-06 23:40:33
9,2.281689,10.3200,,,2026-06-06 23:40:41
10,2.277478,10.6700,,,2026-06-06 23:40:49
11,2.272686,11.4200,,,2026-06-06 23:40:57
12,2.267223,12.4500,,,2026-06-06 23:41:05
13,2.260807,13.6300,,,2026-06-06 23:41:13
14,2.254093,15.7600,,,2026-06-06 23:41:21
15,2.245865,18.8700,,,2026-06-06 23:41:29
16,2.235768,24.0500,,,2026-06-06 23:41:38
17,2.224935,30.4000,,,2026-06-06 23:41:47
18,2.212509,38.9700,,,2026-06-06 23:41:56
19,2.197541,47.0600,,,2026-06-06 23:42:04
20,2.178290,53.4200,,,2026-06-06 23:42:11
