round,loss,accuracy,asr,evasion_rate,timestamp
1,3.020909,45.0400,0.0000,0.0000,2026-06-06 23:29:56
2,1.757116,50.7200,0.0669,0.0000,2026-06-06 23:30:05
3,1.251844,70.8800,1.5493,0.0000,2026-06-06 23:30:14
4,0.800852,82.2100,0.8248,0.0000,2026-06-06 23:30:23
5,0.644715,83.4400,0.4124,0.0000,2026-06-06 23:30:33
6,0.798656,67.8100,28.9679,25.0000,2026-06-06 23:30:43
7,0.618159,80.3800,1.0477,0.0000,2026-06-06 23:30:53
8,0.409009,86.7400,1.6942,0.0000,2026-06-06 23:31:03
9,0.302318,89.9400,0.6465,0.0000,2026-06-06 23:31:12
10,0.199706,93.7800,0.6130,33.3333,2026-06-06 23:31:21
11,0.292211,90.6800,1.6607,0.0000,2026-06-06 23:31:31
12,0.344658,89.1700,0.3344,0.0000,2026-06-06 23:31:40
13,0.308295,89.9600,1.6161,0.0000,2026-06-06 23:31:49
14,0.319480,90.2400,0.6910,0.0000,2026-06-06 23:31:59
15,0.326302,89.8700,0.1226,0.0000,2026-06-06 23:32:09
16,0.284334,91.6100,0.2452,0.0000,2026-06-06 23:32:19
17,0.284444,91.4000,0.1226,0.0000,2026-06-06 23:32:30
18,0.262401,91.0000,0.2006,0.0000,2026-06-06 23:32:40
19,0.219690,92.9700,0.8025,0.0000,2026-06-06 23:32:49
20,0.282896,91.5300,0.9028,,2026-06-06 23:32:58
