round,loss,accuracy,asr,evasion_rate,timestamp
1,2.234115,10.5300,99.8440,100.0000,2026-06-07 07:32:01
2,0.412307,90.9000,1.1034,100.0000,2026-06-07 07:32:10
3,0.262166,92.8200,8.9835,100.0000,2026-06-07 07:32:18
4,0.176863,94.8600,7.7129,100.0000,2026-06-07 07:32:26
5,0.136448,95.9500,13.2189,100.0000,2026-06-07 07:32:36
6,0.109821,96.6900,34.5185,100.0000,2026-06-07 07:32:45
7,0.111454,96.6100,70.6531,100.0000,2026-06-07 07:32:54
8,0.095512,97.0200,76.9840,100.0000,2026-06-07 07:33:03
9,0.090247,97.1800,90.6041,100.0000,2026-06-07 07:33:11
10,0.083983,97.3500,95.9095,100.0000,2026-06-07 07:33:20
11,0.070173,97.6200,98.5845,100.0000,2026-06-07 07:33:29
12,0.075013,97.8000,99.1975,100.0000,2026-06-07 07:33:38
13,0.070832,97.7700,99.5542,100.0000,2026-06-07 07:33:46
14,0.062948,98.0400,98.8297,100.0000,2026-06-07 07:33:55
15,0.061579,98.0800,99.8774,100.0000,2026-06-07 07:34:05
16,0.063921,97.9400,99.0192,100.0000,2026-06-07 07:34:14
17,0.061041,97.8800,99.4984,100.0000,2026-06-07 07:34:24
18,0.054648,98.1700,99.0860,100.0000,2026-06-07 07:34:33
19,0.050882,98.2900,99.6210,100.0000,2026-06-07 07:34:42
20,0.052248,98.2700,98.9969,100.0000,2026-06-07 07:34:50
21,0.056594,98.0900,99.9220,100.0000,2026-06-07 07:35:00
22,0.050433,98.3600,99.9220,100.0000,2026-06-07 07:35:10
23,0.045502,98.5500,99.9554,100.0000,2026-06-07 07:35:20
24,0.045065,98.5600,99.9331,100.0000,2026-06-07 07:35:30
25,0.043651,98.5000,99.8105,100.0000,2026-06-07 07:35:39
26,0.048307,98.5100,99.8217,100.0000,2026-06-07 07:35:48
27,0.042487,98.5500,99.9443,100.0000,2026-06-07 07:35:57
28,0.041649,98.6900,99.8997,100.0000,2026-06-07 07:36:05
29,0.040508,98.7000,99.9220,100.0000,2026-06-07 07:36:13
30,0.039728,98.7200,99.9331,100.0000,2026-06-07 07:36:22
